,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,MIOTA,TRX,NEO,DASH,XMR,XEM,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0418615357132166,0,0.0919311878554812,0.00000000000000000173472347597681,0,0,0,0.0145536990740073,0,0.027584886424086,0,0,0.14860453578507,0,0,0,0,0,0
ETH,0,0,0,0.129145645298003,0.0323527095417439,0,0,0.0787652158916349,0.0896253846433757,0.0124026401782811,0,0,0,0.101272154726274,0,0,0,0,0,0
XRP,0,0,0,0.0784250770251706,0.0683299771176725,0,0,0.102591577206346,0.00660784056922394,0.0166891783797241,0,0,0,0.312941420150597,0,0,0,0,0,0
BCH,0,0,0,0,0.119790588542904,0,0.167379687958202,0.0647404638574682,0.251900015091812,0,0.00000000000000000346944695195361,0,0,0,0,0,0,0,0,0
EOS,0,0,0,-0.00000000000000000346944695195361,0,0,0,0.302896119783221,0,0.208833097096468,0.0738099884327385,0,0,0,0,0,0,0,0,0
LTC,0,0,0.0808420364143534,0.201921631500065,0.0310132332620703,0,0,0,0.0101702273568332,0,0,0,0,0.1554049835371,0,0,0,0,0,0
XLM,0,0,0,0.0132073680532756,0.178218807709285,0,0,0.0328533340034096,0.0411549609444931,0,0.118308017485407,0,0,0.186638368586237,0,0,0,0,0,0
ADA,0,0,0,0.0686795463284606,0.115190788913526,0,0.268187001936474,0,0.107407878816402,0.0675966625556366,0,0,0,0,0,0,0,0,0,0
MIOTA,0,0,0,0.298749978645693,0,0,0.0194852956330856,0.177424283983692,0,0,0,0,0,0.273146688227998,0,0,0,0,0,0
TRX,0,0,0.03364259394786,0,0.193090762085711,0,0.357159620786214,0.00574883109467226,0,0,0.247087899512061,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0.0932849899411383,0.0883129954820422,0,0,0,0.103501820680759,0.110925436123769,0,0,0,0.249314941980055,0,0,0,0,0,0
DASH,0,0,0,0.179725941833216,0,0,0.101013499698576,0,0.0205709752732494,0,0.0204484680592328,0,0.12277410701741,0.130647107955912,0,0,0,0,0,0
XMR,0,0,0,0.207397091056911,0.096356109910244,0,0.109231415260366,0,0.00979619484158118,0.0539385571590956,0,0,0,0.0782870001668505,0,0,0,0,0,0
XEM,0,0,0,0.0315159389800186,0.000000000000000000216840434497101,0,0.107779804200411,0,0.221956888272709,0.0230731091017391,0.221712304490775,0,0,0,0,0,0,0,0,0
BNB,0,0,0,0.0693589680389908,0.111427870986815,0,0,0,0.0961853836909415,0,0,0.0550645226493601,0,0.0331149472693145,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0.0188865727525071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0892040225921738
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0.00434119307333147,0,0.00964389789596209,0,0,0,0,0,-0.00644451006259361,0,0,0,0,0,0.0201221136276876,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.055579282963186
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
