,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,XLM,TRX,ADA,XMR,LEO,HT,LINK,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.279162374473113,0,0.060237537361907,0,0,0.130286815525261,0.0345993143966752,0,0,0,0,0,0.00293682220285198,0,0,0,0,0,0
ETH,0,0,0,0.0507555978961672,0.128238421038955,0.244839361186854,0,0,0.0180869754238562,0.0367028247836932,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0.0340663002685599,0,0,0,0,0.239230375048111,0.139936754875021,0.0203315008885976,0,0,0,0,0,0,0,0,0
BCH,0,0.179100704540936,0,0,0,0.0335866596485439,0.0325433035882094,0.215794243242725,0,0.168756004109328,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0.230981249498749,0,0.248751098962436,0,0,0.00661505713223876,0.0271970152470286,0.108890826783935,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0.198505028830204,0.0935987053457356,0,0,0,0,0.155319337348449,0,0,0,0,0,0,0,0,0,0
BNB,0,0,0,0.196830730162956,0,0,0,0,0.0209963450994433,0.124412792276082,0.0237905411061468,0,0,0,0,0,0,0,0,0
BSV,0,0,0,0.433593559804933,0,0.0873419595717809,0,0,0,-0.000000000000000000867361737988404,0.00175193978917248,0,0,0,0,0,0,0,0,0
XLM,0,0,0.339102338032893,0,0,0,0,0.0237763212810701,0,0.178668161631826,0,0,0,0,0,0,0,0,0,0
TRX,0,0,0.0287826372683866,0.215349459089133,0,0.084543411669327,0,0,0.0464671381774591,0,0.338505107070336,0,0,0,0,0,0,0,0,0
ADA,0,0,0,0,0.123914124391463,0.125938438123151,0.0576296849563189,0.0852238033823544,0.0114443479140199,0.224442794772567,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0.310006896347543,0.0550717728300558,0,0.0452414958444408,0.102922420775919,0,0.0246913908212161,0,0,0,0,0,0,0,0,0,0
LEO,0.0970187429501903,0,0,0,0.126597912888018,0,0,-0.0465297109646346,0,-0.0146198105851669,0,0,0,0,0,-0.0305353579563349,0,0,0,0
HT,0,0.0392311927058765,0,0,0,0.0214961339889833,0,0,0.034323341734014,0.120456363428572,0,0,0,0,0,0,0,0,0,0
LINK,0,0,0.265672663240807,0,0,0,0,-0.00000000000000000693889390390723,0.00000000000000000173472347597681,0.0688121729872261,0,0,0,0,0,-0.162474217271049,0,0,0,0.0369234375071954
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.159974515167088
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0.000000126416873162415,0,0,0,0,0,0,0,0,0,0,0,-0.0854849078935756
VIX.INDEX,-0.00000339507761085138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.055015057158168,-0.0661731637587026,0,-4.95971625961053,0
