,BTC,ETH,XRP,LTC,DOGE,DASH,XMR,XLM,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.525494108877545,-0.00788620443933767,0.00321832521216251,0.0549923754993297,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XRP,0.0782329976269815,0,0,0,0.101742869961599,0,0.0167049546317211,0.0170175300862956,0,0.0201651737914457,0,0,0,0,0
LTC,0.44538849219582,0,0,0,0.0134780294992702,0,0,0,0,0.00143448094491808,0,0,0,0,0
DOGE,0,0.0641329558458364,0,0.517263148186945,0,0,0,0.179704942345339,0,0.0042021911634027,0,0,0,0,0.023694934843135
DASH,0,-0.164090453059981,0,0,0,0,0,-0.0483084723500923,0,0.151406994427312,0,0,0,0,0
XMR,0.284682404868388,0,-0.121435083732827,0,-0.00888400166002359,-0.304003481558019,0,0.443986523882582,0.0678197113274614,0,0,0,0,0,-0.0385669598309016
XLM,0,0,0,0,0.186418612580854,0,0,0,0.0517486636713136,0.0633551843975388,0,0,0,0,0
XEM,0,-0.120270882096366,0,0.409622356449423,0.059835039874103,0.221344194811529,0.17893530972667,0,0,0.154631400875826,0,0,0,0,-0.031595573402366
DGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237533136356934
BV010082.INDEX,0,0.00298159052253534,0,0,0,-0.00116845438759538,0,0,0,0.000134325819026176,0,-0.038197748299121,0,0,-0.0503949456035357
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0525817227252323
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,-0.000000378817839375961,-0.00000223288065970887,0,0,0,0,-0.120331163043224
VIX.INDEX,0,0,0,0,0.107461407797171,0.0184724961870306,0,0.0151851731924746,0.0063598062172925,0.0785186234577531,0,0,0,-0.384086030070719,0
