,BTC,ETH,XRP,BCH,LTC,DASH,XEM,NEO,XMR,MIOTA,ETC,ADA,ZEC,XLM,EOS,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.214917553811807,0,0,0.122891082662472,0,0.066956684925858,0.0188425988570848,0,0,0.0388943056737,0,0,0.00578491887121514,0.0134290721315837,0,0,0,0,0
ETH,0,0,0.0497024661003198,0,0.172841820833118,0,0.028072703726017,0.0222172125695,0,0.105433916420778,0,0,0.0225962908969155,0.00374732714294047,0,0,0,0,0,0
XRP,0,0,0,0,0,0,0.111541865408712,0.0442573041957252,0.107948433270004,0.124842962188902,0,0,0,0.0449046813885666,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0.142858742842765,0,0,0.251434062564879,0,0,0.0087951803830243,0,0,0,0,0,0
LTC,0,0,0,0,0,0.0579836048640307,0.0889000905833792,0.0600764064108747,0,0,0.657580838920725,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0,0,0,0.132933838035697,0,0.0651707542755178,0.0706398154353398,0,0,0.0345587980379497,0,0,0,0,0,0,0
XEM,0,0.265821739832905,0,0,0.0610996354543135,0,0,0.0212216020156589,0,0.132892180290731,0,0,0,0.0446667844447864,0,0,0,0,0,0
NEO,0,0.357598476065143,0,0.351578525231533,0,0,0,0,0,0,0,0,0,0.0689528115521716,0.0387383663984918,0,0,0,0,0
XMR,0,0,0,0,0.104998159183851,0,0,0.01120140631076,0,0.0263306737257232,0,0,0.20661950408772,0.0250743883293331,0.0139427059832117,0,0,0,0,0
MIOTA,0,0,0,0,0,0.146593044067982,0.120162464864203,0,0,0,0,0,0.114018576618894,0.055551217435406,0.135565769013079,0,0,0,0,0
ETC,0,0,0,0.0385136711675514,0.351948564879249,0,0,0,0,0.0932820256635403,0,0,0.0323366241382723,0.00328986569831465,0,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZEC,0,0,0,0.0186407124914992,0,0,0.0889086310373971,0.0247888256575965,0.0760469082781414,0.0893568173687581,0.16224504591673,0,0,-0.000000000000000000216840434497101,0.188567338238024,0,0,0,0,0
XLM,0,0,0,0,0,0,0.329919803376994,0.108998531411404,0,0.181696296916295,0.248546293988536,0,0.160641566973618,0,0,0,0,0,0,0
EOS,0,0,0.0246894085112069,0,0.123496889463969,0,0.0460377450183358,0.126938638293489,0,0.0413698524998071,0,0,0.19917149231107,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,-0.00720600161352149,0,-0.00484742378862087,0.0203931867078918,0,0,-0.00849627955358811,0,0,0,0.0308689012687995,0,0,0,0,-0.0634936259564083
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,-0.0065147740053878,0,0,0,-0.00490339683799832,-0.0108819336149826,0,0,0,0.00052453708597658,0,-0.00133351573289416,0,0,0.00611978329718123,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,-0.0000590904947904923,0,-0.0011384157075438,0,0,0,-0.000308660573589604,-0.000000000000000000000105879118406788,0,0,0,0,0,-0.0278956866748281
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
