,BTC,ETH,ETC,XRP,LTC,DASH,XEM,DOGE,XMR,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.000000000000000000867361737988404,0,0,0.406072476755401,0,0.04804907869501,0,0,0,0,0,0,0,0,0
ETH,0.305744139193156,0,-0.0887030605053115,0,0,0,0.0060568828957083,0.0000000000000000138777878078145,0,0,0.197740234869775,0,0,0,0,0.0236280651503319
ETC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0.550349284236631,0,0,0,0,0,0.00380469626612034,0,0,0,0,0,0,0,0,-0.00256680541503465
DASH,0,0.0698043435797817,-0.00591978892228574,0.0667233602891448,0,0,0,0,0,0.0693811436013975,0.0554970371195907,0,0,0,0,0
XEM,0.607085087012618,0.027324783709191,-0.0363975776500311,0,0,0,0,0,0,0,0.040681974863079,0,0,0,0,0
DOGE,0.314361312422391,0.0166941343461611,-0.00699517993475839,0,0,0,0.057702954127554,0,0.0328953772763981,0,0,0,0,0,0,0
XMR,0.70572527233932,-0.0342893984658986,-0.0132420966188665,0,-0.00000000000000000346944695195361,0,-0.0411059563833827,0,0,-0.0489334850957836,0.031072013442432,0,0,0,0,-0.0743107970690821
XLM,0,0,-0.00687116309364529,0,0.0652682266577356,0,0.176078838158422,0.0959433984065877,0,0,0,0,0,0,0,0
DGB,0,0.264883612258556,0.00766160068370292,0,0.189590134710144,0,0.139113355736746,0,0,-0.142454467635535,0,0,0,0,0,-0.0139846575634781
BV010082.INDEX,0,0,0.00242960898549199,0,0,0,0,0,0,0,0,0,0,0,0,-0.0624650585360372
CVIX.INDEX,0,-0.00000483931550678882,-0.00000242086047414998,0,0,0,0,0,0,0,0,0,0,0,0,0.123573981534148
DXY.INDEX,0,0,-0.00041981374989054,0,0,0,0.0000000348808671705599,0,-0.00000040842865337155,0,0,0,0.0357013554660376,0,0,0
SPX.INDEX,0,0,-0.000000259774447741858,0,0,0,0,0,0,0,0,0,0,0,0,-0.0391525135895912
VIX.INDEX,0,0,0.000230591710652083,0,0,0,0.0000624035890708984,0,0,0,0,0,0.405288021434209,0,0,0
