,BTC,ETH,XRP,EOS,LTC,BCH,XLM,TRX,BNB,ADA,BSV,XMR,MIOTA,DASH,MKR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.106571183712833,0,-0.00000000000000000173472347597681,0,0.165658511285435,0,0,0.0286269531563972,0.041926758358151,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0.122116868544413,0,0.29389389837129,0,0,0,0.0210881210608175,0,0,0,0,0,0,0,0,0,0
XRP,0,0.0309766244424384,0,0.162560253812521,0,0.0650279453931782,0,0,0,0.146224316049222,0,0.0615105379452649,0,0,0,0,0,0,0,0
EOS,0,0.16803545170812,0,0,0.212928975906868,0.020823738753973,0,0,0,0.309935335098892,0,0,0,0,0.0234416909162453,0,0,0,0,0
LTC,0,0.214113864706865,0,0.267227495593925,0,0.0852944349870967,0,0,0.0405571308023024,0.0551824989601641,0,0,0,0,0,0,0,0,0,0
BCH,0,0.110428761024842,0,0.139540907105458,0.238574465027153,0,0,0.0244874663537381,0,0,0.288078994132812,0,0,0,0,0,0,0,0,0
XLM,0,0.206082294875748,0,0,0.122178659646798,0.123962098945843,0,0,0,0.125709432798064,0,0,0,0,0,0,0,0,0,0
TRX,0,0,0,0,0,0.166018641861636,0,0,0,0.310274959391776,0,0,0,0,0,0,0,0,0,0
BNB,0,0.0435953243471148,0,0.192458257114717,0.174351151082056,0,0,0.263540600989573,0,0,0,0.0871588584189327,0,0,0.0043399574123642,0,0,0,0,0
ADA,0,0.374320165922928,0,0.0775095173737174,0.125851026726927,0.139063198499195,0,0.0536376697760274,0,0,0,0,0,0,0,0,0,0,0,0
BSV,0,0,0,0,0,0.567680352294251,0,0,0,0,0,0,0,0.053427896514269,0,0,0,0,0,0
XMR,0,0.243988907971746,0,0,0.0721648985401714,0.0872360135518318,0,0,0.0881785488294629,0.0821408011140861,0,0,0,0.281170075224011,0,0,0,0,0,0
MIOTA,0,0.0659234392785606,0,0.256452661934139,0.0377426996402504,0.153006212340633,0,0,0,0,0,0,0,0.098285322243047,0,0,0,0,0,0
DASH,0,0,0,0.344205057030905,0,0.0490010623060003,0,0,0,0,0,0.096129177488992,0.0592534445528983,0,0,0,0,0,0,0
MKR,0,0.330044955752531,0,0.268618913454974,0.00764745969665872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,-0.00201773024472185,-0.00203645000352806,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.083234207216379
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,-0.000000240025691942381,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.106490510863287
VIX.INDEX,0,0,0,0.0000214378753454361,0,0,0,0.00000791922201889489,0.00000821002766337365,0,0,0,0,-0.0000225130187369374,0,0,-0.0000151933122561323,0,-2.84439421312936,0
