,BTC,ETH,XRP,BCH,LTC,ADA,EOS,NEO,XLM,MIOTA,XMR,DASH,XEM,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.00498822029144248,0,0,0.0585901008919441,0.0180252778238855,0,0.0614376886137628,0.151824612246991,0.158094717516762,0,0.0920697594692437,0,0,0,0,0,0
ETH,0,0,0,0,0.00632108961816761,0,0.122458441526729,0.0975551663752801,0,0,0.0509548697687318,0.134379605795312,0.00676878505109972,0.095617322208934,0.00426466577711352,0,0,0,0,0
XRP,0,0,0,0,0.0458269173001532,0.0779510447177497,0,0,0.0758734912511552,0,0,0,0,0.271534144594673,0.0968612766152108,0,0,0,0,0
BCH,0,0,0,0,0,0,0.0149559424653702,0.0807360045681832,0,0.160352972295075,0.0833171438601535,0,0,0.0379338732583378,0.115065109182417,0,0,0,0,0
LTC,0,0,0,0.0674923830979261,0,0.0257511740252162,0,0,0,0,0.150580457630361,0,0,0.152163349046709,0.0925893231661504,0,0,0,0,0
ADA,0,0,0.151674280970356,0,0,0,0.21572392900781,0,0.262917433933775,0,0.0275504231768449,0,0.0641615336476543,0.0413085789861833,0,0,0,0,0,0
EOS,0,0,0,0.0830498116169852,0,0.331237104457757,0,0,0.0189731129598985,0,0.00186782162499525,0,0,0.117452139283794,0.236803716307024,0,0,0,0,0
NEO,0,0,0,0,0,0,0.0366486620060323,0,0.135974938407789,0.391198979561766,0,0,0,0,0.0239104521130786,0,0,0,0,0
XLM,0,0,0.138546461155898,0,0,0.220459132055675,0.0772830446682069,0,0,0,0.030368546751077,0,0,0.148729830974054,0.0254360603649311,0,0,0,0,0
MIOTA,0,0,0,0.00887507187021147,0.134694722622439,0,0,0.0731370549498483,0,0,0.263537295836157,0,0,0.177958406829936,0.117214618127667,0,0,0,0,0
XMR,0,0,0,0,0.100968753403045,0,0,0.142678737016392,0,0.0683583185687373,0,0.533019485440639,0,0,0,0,0,0,0,0
DASH,0,0,0,0.234296253041263,0,0,0,0,0.106566814091253,0,0.137412841539496,0,0,0.12428375377492,0,0,0,0,0,0
XEM,0,0,0,0,0,0.167328124476816,0.0378080620066241,0,0,0,0,0,0,0.317651677511952,0,0,0,0,0,0
TRX,0,0,0.109468592625875,0.0848217445600145,0,0,0.0712119899564712,0.149863652252686,0,0.122785492286083,0.0772149724910974,0,0.0770704781515702,0,0,0,0,0,0,0
ETC,0,0,0,0,0,0,0.277447802247924,0.160971082443889,0,0,0,0,0,0.191123224103397,0,0,0,0,0,0
BV010082.INDEX,0,0,-0.0200952098629202,0.0480841555277029,0,0.000000000000000000867361737988404,0,-0.0227937260981448,0,0,0,0,-0.00747291149311517,0,0,0,0,0,0,-0.0395490590248889
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016659115341087
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0544651960249185
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
