,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,XLM,XTZ,TRX,ADA,LEO,XMR,ATOM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0567067129264048,0.0293569975365393,0.0252367446517184,0.158002741789366,0,0,0,0.087832408817002,0,0,0,0.0397632913968257,0,0,0,0,0
ETH,0,0,0,0.043133744706551,0.0953758202635762,0.178774032109718,0.101362502482409,0,0,0,0,0,0,0,0.0185750272464455,0,0,0,0,0
XRP,0,0,0,0.0773624431097581,0.082303207711069,0,0,0.0653786912053012,0,0.00698614322165855,0.153826619580025,0.054447324562356,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0.128931222268861,0,0.153927681722466,0.128648169813636,0,0,0.223341547385685,0,0,0,0.0357589277187928,0,0,0,0,0
LTC,0,0,0,0.15019710826722,0,0.60783949989467,0,0,0,0,-0.00000000000000000173472347597681,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0,0.502047666748838,0,0.0661713870952726,0.0703738029014909,0.0309583489632088,0,0.0000000000000000000542101086242752,0,0,0,0.116643996771053,0,0,0,0,0
BNB,0,0,0,0.195337589642686,0,0.0496723779684136,0,0,0,0,0.0285019650645719,0,0,0,0.0473765908927147,0,0,0,0,0
BSV,0,0,0,0.160300466896531,0.121395297954583,0.176204851483257,0,0,0,0,0.0926083763030415,0,0,0,0.0984796305322055,0,0,0,0,0
XLM,0,0,0,0.219223293336366,0.0287165904358657,0.0784697211458889,0,0.260552177157987,0,0,0.0331590852931485,0.065249237328944,0,0,0,0,0,0,0,0
XTZ,0,0,0.832161610669777,0,-0.173021667266113,0,0,0,0,0,-0.200900320282002,0,0,0,0.132131938174635,0.164106725017587,0,0,0,0
TRX,0,0,0,0.298266832703335,0,0,0.312259376962983,0.0597520495939846,0,0,0,0,0,0,0.0451438918280878,0,0,0,0,0
ADA,0,0,0,0,0,0.251213176141173,0,0.0872350176409275,0.0468600559222061,0,0.079397216160517,0,0,0,0.0935030296642011,0,0,0,0,0
LEO,0,0.0952546803454274,0,-0.156637271275581,0,0,0,0,0.103777274225542,-0.00801890959668571,0.139402628285069,0,0,0,-0.0593642410952509,0,0,0,0,0
XMR,0,0,0,0.306140645027471,0,0,0.350852236110491,0,0,0,0,0,0,0,0.0300102889685554,0,0,0,0,-0.0162002939204498
ATOM,0,0,0,0,0,0.404617043278226,0,0,0.231117538803332,0.237627148054322,0,0,0,0,0,0,0,0,0,-0.0711569098664687
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0274878745107692
CVIX.INDEX,0,0,0,0,0,0,0,0.000000712921176605402,0,0,0,0,0,0,0.000000944459008353105,-0.214416902497118,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0381427932657133,0,0,0,-0.0027635724977882
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0404275953530638
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
