,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,XLM,TRX,ADA,XMR,XTZ,LEO,ATOM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.077346487193875,0,0.167188036442015,0.0864868295231597,0,0,0.0492680608693144,0,0,0,0,0.00766567597213653,0,0,0,0,0
ETH,0,0,0,0,0.0691253741417443,0.276789143150221,0,0.0702397017367263,0,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0.0169542563070746,0.110700268929052,0.0357958029258272,0,0.0964968254446683,0,0.138066514085999,0,0,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0.127222755832628,0,0.0750805805244844,0.195009200796409,0,0.161179672920053,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0.163937609395876,0,0.597776699143109,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0,0.505343188715933,0,0.0504063630429915,0.0753209785289116,0,0.00484003149942765,0,0,0,0,0.124798428654306,0,0,0,0,0
BNB,0,0,0,0.0897206699653815,0,0.122335830284761,0,0.184667604020832,0,0.034280198158582,0.000000000000000000216840434497101,0,0,0,0,0,0,0,0,0
BSV,0,0,0,0.18737864775549,0.167960030467343,0.199913684428502,0,0,0,0.0285797753043645,0,0,0,0,0.0770308692952965,0,0,0,0,0
XLM,0,0,0,0,0.0749297011981545,0.199487949431138,0,0.124660907927292,0,0.0954341722761888,0.0784912747416983,0,0,0,0,0,0,0,0,0
TRX,0,0,0,0.134230869219719,0,0.0183123390793207,0.456240468824424,0.0532728094774915,0,0,0,0,0,0,0.0453557003753524,0,0,0,0,0
ADA,0,0,0,0,0,0.401602491283229,0,0.107738301401183,0,0.0640226149032135,0,0,0,0,0.0297579150376603,0,0,0,0,0
XMR,0.145143174785022,0,0,0.459680831394239,0,0,0.0874875063386994,0,0,0,0,0,0,0,0.0130522610576112,0,0,0,0,-0.0362841527894332
XTZ,0,0,0.575425712089291,0,0,0,0,0,0,-0.247496775638949,0,0,0,0,0.155015866587739,0,0,0,0,-0.103065353562265
LEO,0,0.0925533184369032,0,-0.108590986808573,0,0,0,0,0.113376753706142,0.121775466732153,-0.000000000000000000867361737988404,0,-0.010504994889579,0,-0.072126363596032,0,0,0,0,-0.0127671922177198
ATOM,0,0,0,0,0,0.477333825685739,0,0,0.0155720596545456,0,0,0,0.272876065604054,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0274878745107692
CVIX.INDEX,0,0,0,0,0,0,0,0,0,-0.0000000579676924451426,0,0.00000493676224067334,0,0,0,-0.21439431662375,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,-0.000000389763953165221,0,-0.000000489070330929311,0.0289228035685377,0,0,0,-0.00300471555690982
SPX.INDEX,0,0,0,0,0,0.00000127675760712367,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.048033867378998
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
