,BTC,ETH,XRP,ETC,XEM,LTC,DASH,XMR,ZEC,XLM,DOGE,DGB,BAT,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0.0138626793411462,0,0.0823976011066225,0,0,0,0,0,0.046500249999688,0,0,0,0,0
ETH,0,0,-0.0496008121494261,0.151275822201554,0,0,0,0,0.138616267819608,0,0.0200960266634224,-0.0172174353352774,0,0,0,0,0,0,0.0363020267546648
XRP,0,0,0,-0.127835404519818,0,0,0,0,0,0.448274895448065,0,0,0,0,0,0,0,0,0
ETC,0,0.171261183338615,-0.105091775888228,0,0,0,0,0,0,0,0,-0.0329225595731493,0,0.328955986296021,0,0,0,0,0
XEM,0,0,0.260381520731433,0,0,0.0711702840624693,0,0,0,0,0.193141227244793,-0.0338620655371064,0,0,0,0,0,0,0
LTC,0,0,0,0,0.095090560488575,0,0.0632538825946098,0.225334846974059,0,0.0236081657437038,0,-0.0536873686739713,0,0.153544069050801,0,0,0,0,0.0259889202955279
DASH,0,0.0879495821242336,0,0,0,0,0,0.233394561633512,0,0.00266001240593198,0,-0.0180962947689366,0,0.123340950258279,0,0,0,0,0
XMR,0,0,0,0,0.122591310600776,0,0.114293037359076,0,0,0.0453524536821054,0.0394774105109954,0,0,0,0,0,0,0,0
ZEC,0,0.266781938197961,0,0,0.0206450301441439,0,0,0,0,0.00543781978721425,0.0632569107531225,0,0,0.0479975717482703,0,0,0,0,0
XLM,0,0,0.481880546597469,0,0,0,0,0.152847185761023,0,0,0,0,0,0,0,0,0,0,0
DOGE,0,0,0,0,0.15224292279302,0.250758245653739,0,0,0,0.0884762141690685,0,0.0797312033661264,0,0.0504241911904404,0,0,0,0,0
DGB,0,0,0,-0.0701183934438101,0,-0.246592827960441,0,0.249253787114802,0,0.184334266842246,0.66818807516619,0,0,-0.0621472242073585,0,0,0,0,-0.225590775231106
BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0,0,0,0,0,0.147455942324615,0,0.0419180598607225,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,-0.00302036085597039,0,-0.000221324049027111,0.0265794436774455,0,0,0,0,-0.053218400850485
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0.00446066909454946,0,0,0,0,0,-0.00164549263779517,0,0.0000000000000000000135525271560688,0,-0.00291269809840783,-0.000561698204622259,0.000292565419470768,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0.0000042783620608065,0,0,0,0,0,0,-0.0160072733634717
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
