,BTC,ETH,XRP,LTC,BCH,EOS,BNB,BSV,XLM,ADA,TRX,XMR,DASH,MIOTA,ATOM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.045547048481312,0.100042727799297,0,0,0,0,0,0.288979319608112,0,0,0,0,0,0,0,0
ETH,0,0,0,0.0629793947671808,0,0.186672883805674,0,0,0.212244840081971,0.10612618442809,0.0322178922803538,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0,0.185994928395796,0,0,0,0.161775840250384,0,0,0,0.0407733333805263,0,0,0,0,0,0
LTC,0,0,0,0,0.169940805564086,0.254343734412606,0,0,0,0.0209933143721993,0.0798774543890596,0.104960133632167,0,0,0,0,0,0,0,0
BCH,0,0,0,0.0453573589575439,0,0.229436063498869,0,0.0250397262937294,0,0.0478103244830362,0,0,0,0,0,0,0,0,0,0
EOS,0,0.189779705831493,0,0.190600436334173,0.279714149936711,0,0,0,0,0.0708053460932161,0,0,0,0,0.00989722301911218,0,0,0,0,0
BNB,0,0,0,0.209537738725053,0.056364917765585,0,0,0,0,0,0,0,0,0,0.0779628047036839,0,0,0,0,0
BSV,0,0,0,0,0,0.0749057771885192,0,0,0,0,0.4211308433521,0,0,0.197779165815065,0,0,0,0,0,0
XLM,0,0.0198691327790335,0.0836622102204496,0.0847331456519376,0,0,0,0,0,0.301992582377713,0,0,0,0.03854564210461,0.00959930719212059,0,0,0,0,0
ADA,0,0,0.166974646538435,0.00738088141697465,0,0.182461846702775,0,0,0,0,0.306316705140003,0,0,0,0,0,0,0,0,0
TRX,0,0,0.0762555249218849,0.158388262210611,0,0.0335523614933808,0,0.0313705808604198,0,0.242421644546823,0,0,0,0,0.0161883599389336,0,0,0,0,0.0335911816747842
XMR,0,0,0,0.287395962602157,0,0,0,0,0,0.128862421256292,0.0666029202793506,0,0,0.120475419510323,0.0456212683479379,0,0,0,0,0
DASH,0,0,0,0.0489269250333402,0,0.0867835772411217,0,0.0000000000000000000016940658945086,0.135795903215984,0.0835912130242319,0,0.0170902051989502,0,0.0197877114838722,0.0464640223864737,0,0,0,0,0
MIOTA,0,0,0.188010039823729,0,0,0.19926484536718,0,0.109725804131094,0,0.207824450723197,0,0,0,0,0,0,0,0,0,0
ATOM,0,0,0,0.137852279110573,0,0,0.327051575736139,0,0.101549479275415,0,0.0835298446840945,0,0.0449732314555452,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0619380127224707
CVIX.INDEX,0,0,0,0,0,0,0,-0.0339122382347622,0,0,0,0,0,0,-0.00000000000000000000000330872245021211,0,0,0,0,0.0408234651809437
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000000896993961057214,0,0,0,0,-0.0618169299810644
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
