,BTC,XRP,LTC,DOGE,XLM,DASH,XMR,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.105312742846683,0.0205322138934824,0.0450077192574804,0,0,0,0.0345250829790842,0,0,0,0,0
XRP,0,0,0.0435260402584521,0,0.119351254132876,0,0,0,0,0,0,0,0,-0.0484852998622586
LTC,0.297975222314139,0,0,0.0610454854169464,0,0,0,0.0270917034314412,0.0446339614016504,0,0,0,0,0.0229884601095897
DOGE,0,0.0234101017844332,0.0932663451503554,0,0.224800452918011,0,0,0.14071656090077,0,0,0,0,0,0
XLM,0,0.162146213561331,0.0413858625081319,0.238975585730983,0,0.1492633304343,0,0,0.0453358883272221,0,0,0,0,0
DASH,0,0,0.0546885150814881,0,0.16509167192856,0,0,0,0,0,0,0,0,-0.0466440043032948
XMR,0.594979722173049,0,-0.0775208182429798,0,0,0,0,-0.05251242239957,0.232046784323842,0,-0.347845279143426,0,0,-0.13106886889053
XEM,0,0,0.105471340109219,0.188747809476867,0,0,0,0,0,0,0,0,0,0.159617056768952
DGB,0,0,0.0855622331762805,0,0,0,0.046004436991786,0,0,0,0,0,0,0.139427813946673
BV010082.INDEX,0,0,-0.00606931394051222,0,0,0,0,0.00140571571967586,0.00105042911630064,0,0.190401849676234,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,-0.000000000000000000000000413590306276514,0,0,0.0000000079345369984374,0,0,0.0962795131910528,0,0,-0.0058842497740359
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0687990146171775
VIX.INDEX,0,-0.0122434776254484,0.0702212780681197,-0.0000000000000000000542101086242752,0,0,-0.0702302844312822,-0.0179888603031894,0.116672217402959,0,0.101782011580626,0,-1.23212180074181,0
