,BTC,ETH,XRP,BCH,LTC,DASH,XEM,NEO,MIOTA,XMR,ETC,ADA,ZEC,BAT,EOS,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.0394120110552946,0,0.116442561471822,0.0486536521672473,0.0899369042684838,0,0.0493999002437081,0,0,0.0466095659755492,0,0,0,0,0,0
ETH,0,0,0,0,0.0772926507026067,0,0.0506996462410518,0,0.107555241884533,0,0,0,0,0.020637401514755,0,0,0,0,0,0
XRP,0,0.0550432414448625,0,0,0.258914438288135,0,0.0329771674436989,0,0,0.206252122816999,0,0,0,0.00855047800079851,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0.405234757210193,0,0.0496098816813545,0.0935718802124553,0.255301282460239,0,0.03455824445554,0,0,0,0,0,0,0
LTC,0,0,0,0.0179791769829726,0,0,0,0.0173445343812888,0.031870976872477,0.0255753012074528,0.647863223434311,0,0.00293661577214179,0,-0.00000000000000000173472347597681,0,0,0,0,0
DASH,0,0,0,0.0231483540798043,0,0,0.122559404782677,0,0.068315739676682,0,0,0,0.153528887167449,0.0432681337831428,0,0,0,0,0,0
XEM,0,0,0,0.0589650075172256,0.151985788724251,0,0,0.0835975052827327,0.146213480622942,0,0,0,0,0.0354742660687455,0,0,0,0,0,0
NEO,0.711311989823026,0,0,0.0831324982418366,0,0,0.0772484458789203,0,0,-0.074607490161918,0,0,0,0.282502682810671,0,0,0,0,0,-0.0861830527178244
MIOTA,0.152666682692578,0,0,0,0,0.209719969656056,0.214330178052289,0,0,0,0,0,0.0270236444229686,0.122482515731813,0.170860516550374,0,0,0,0,0.076101826546659
XMR,0,0,0.154534513731715,0,0,0,0,0,0.0254272169254543,0,0,0,0.261424152444095,0,0,0,0,0,0,0
ETC,0,0,0,0,0.406030882126034,0,0,0,0,0,0,0,0.0739696787338556,0,0.0215503219320801,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZEC,0,0,0,-0.000000000000000000433680868994202,0,0.0931489232853894,0.119188622728244,0,0,0.0721825339082744,0.206508080368795,0,0,0,0.155930836085771,0,0,0,0,0
BAT,0,0,0,0,0.0887759180841085,0,0.0853636464297789,0.207849520376576,0.0171098579471889,0,0.170166684613837,0,0,0,0.102948739776575,0,0,0,0,0
EOS,0,0,0,0,0.182343190699519,0,0,0.0536683196475427,0.0557158678535392,0,0,0,0.242476998254185,0.0444118993307928,0,0,0,0,0,0
BV010082.INDEX,0,0,0,-0.00352844339961925,0,0,0,0,0,0,0,0,0,0,0.00111690526063487,0,0,0,0,-0.0367797293593884
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,-0.000000100468153089305,0,0,0,0,0,0,0,0,0,-0.0397020211942445
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
