,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,TRX,MIOTA,NEO,XMR,DASH,XEM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0255181955361644,0,0.0484518400795257,0.00490609337452724,0,0.108593799292212,0,0,0,0.00544584687946805,0,0.0105714535408602,0.145915718465952,0,0,0,0,0,0
ETH,0,0,0.238421308311845,0.102825013916132,0.00444705879067594,0,0,0,0,0.0482567388493385,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0.0233636621294363,0,0.0806087844139753,0.0751290167226286,0,0.0601673141514006,0.00133157392679269,0,0,0.275391797466831,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0.115082048934275,0.023737222851266,0.246856821530063,0.0224169183308117,0,0.206125108519893,0,0.00548517375436713,0,0,0,0,0
EOS,0,0,0.255840441322236,0,0,0,0.0597076508777958,0,0.16033905671496,0,0,0,0,0,0,0,0,0,0,-0.0452071820157429
LTC,0,0.262043974948876,0.0461659326653804,0.135867330429383,0.0116750784324969,0,0,0.0541983764335504,0.0464429369939265,0.0951849514690698,0,0,0,0,0,0,0,0,0,0
ADA,0,0,0.212924413874581,0,0.0587633939397687,0,0,0.312785240167795,0,0,0.0309450555901174,0,0,0.0420196762836736,0,0,0,0,0,0
XLM,0,0,0.102585503933019,0.0054966191889876,0.0538211609342552,0,0.265437903548528,0,0.0197665177887334,0,0.0422345952733786,0,0,0.290517559024276,0,0,0,0,0,0
TRX,0,0,0,0.069417274730476,0.197329229820086,0,0,0.355175606456142,0,0,0,0,0,0.111684595190589,0,0,0,0,0,0.192271321752355
MIOTA,0,0,0,0.22918126449742,0,0,0.205810443231288,0,0.0116375037202028,0,0.0244418215834472,0,0.157153827321258,0.0954735430392033,0,0,0,0,0,0
NEO,0,0,0,0.0683421964336631,0.0453279318225949,0,0.0619003090542006,0.0419458433694792,0,0.14776177367812,0,0,0,0.218831427258996,0.0905262472160199,0,0,0,0,0
XMR,0,0,0,0,0,0,0,0.146176150128453,0,0,0.0624678154395227,0,0.177405370832216,0.115027091103913,0.00736082590690054,0,0,0,0,0
DASH,0,0,0,0.116914140588475,0.03330757511355,0,0,0.0776399997712444,0.033180628075449,0.346542103530526,0.000000000000000000867361737988404,0,0,0,0,0,0,0,0,0
XEM,0,0,0.106856426517435,0,0,0,0.0246742935809672,0.224778483179584,0.0167726534781021,0.215877169668012,0.0417908792029546,0,0,0,0.0858028271281249,0,0,0,0,0
ETC,0,0,0,0.0794870884100409,0.0332384778600806,0,0,0.0684746763758474,0.000000000000000000433680868994202,0.123462477547252,0,0,0.0636430734176412,0.1817579148783,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0.0387271890743393,0,0,0,-0.0088735710805371,0,0,0,0,0,0,0,0,0,0,-0.0381720718054739
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,-0.00000448757667958992,0,0,0,0,0,0,0,0,0,0,0,0,-0.100859073024501
VIX.INDEX,0,0,0,0,-0.0399945373153132,0,0,-0.00571339018315311,0,0.0203515147324452,0.00357483516708326,0,0,0,0,0,0,0,-2.92322738506875,0
