,BTC,ETH,BCH,XRP,BTG,LTC,DASH,MIOTA,XMR,NEO,ETC,XEM,EOS,ADA,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.11099792126162,0,0.0174375978651899,0.0883508126105265,-0.0715802428567635,0,0,0,0,0,0.129500685077002,0.0738798831098066,0,0,0,0,0,0
ETH,0,0,0,0.0131851360979625,-0.01370867471089,0,0.0388676841889778,0.0200293498122811,0,0.00918346595567274,0.115253035265321,0.0822104746231061,0.0600758508732274,0.0447812756431532,0,0,0,0,0,0
BCH,0,0,0,-0.122034768168647,0.136039544055389,0,0.233174876434082,-0.0924881200975178,0,0.249850510101527,0,0,0.045465710258169,0,-0.000659219240415068,0,0,0,0,0
XRP,0,0.0384040392804163,0,0,-0.0239989612316988,0.170670574229952,0,0.045985160557587,0,0.0306021051929107,0,0,0,0,0.0320465684150626,0,0,0,0,0
BTG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0.117239390625391,-0.00188889510622675,0,0,0.0342998827483038,0,0,0.123015284271424,0,0.0154874576236081,0.0769850380479875,0,0,0,0,0,0
DASH,-0.0832443417323999,0.016681699822085,0,0,0,0,0,0.0342692878115469,0.338426389914883,0.00866252683115969,0,0,0,0,0,0,0,0,0,0
MIOTA,0,0,0,0,-0.0199716995401503,0,0,0,0.146031443944804,0,0.0756649688066969,0,0.0198934086953184,0.218110796325155,0.0546113310335483,0,0,0,0,0.218563816630204
XMR,0,0,0,0,0,0,0.182657446301387,0.0198296365247196,0,0.0730922845596312,0.0885953424381193,0,0.0289077008848352,0.0715844211372139,0.0134812623058622,0,0,0,0,0
NEO,0,0,0,0,0,0,0,0,0,0,0.0420924755972263,0,0.0620173219976551,0.0480339269216121,0.166387298310122,0,0,0,0,0
ETC,0,0.0939433745883172,0.115440875921513,0,0,0.114004844805513,0,0.0735071390509694,0,0,0,0,0.054132380252896,0.0239266703002311,0.00231579676047755,0,0,0,0,0
XEM,0,0,0,0,-0.0309328064295832,0,0,0.00672274215357168,0,0,0.0720833198647578,0,0,0.134624627956181,0.0178075628345907,0,0,0,0,0
EOS,0,0,0.0452271355030137,0,0,0,0,0.22912119386283,0,0,0.209435240737871,0,0,0,0,0,0,0,0,0
ADA,0,0,-0.138621458210277,0,0,0,0,0.0417756500965304,0.0998267990211106,0,0.0983442665342685,0.304034905061193,0,0,0,0,0,0,0,0
XLM,0,0,-0.0593352050332002,0,-0.00677122729820424,0,0,0.0882886029872645,0,0.272932519835597,0,0.490101643605159,0.0876892454940286,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0.00209598633181037,0.0101590619795076,0.0162083741197466,0,0,0.0319048474983555,-0.012387280316135,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0265224698601073
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
