,BTC,XRP,ETH,BCH,XLM,EOS,LTC,ADA,XMR,TRX,MIOTA,DASH,BNB,XEM,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0216597071194571,0.116606904218747,0.0645969466937106,0,0,0,0,0,0.0180030440311025,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0.500237881277231,0,0.0524647036197894,0,0,0,0,0,0.288034609225097,0,0,0,0,0,0,0,0,0
ETH,0,0.169306228968523,0,0.0853816615463027,0,0,0,0.0505779606360433,0,0.0307430542775074,0,0,0,0,0,0,0,0,0,0
BCH,0,0.0861810247201443,0.137959638429382,0,0,0,0,0.0460817354269826,0,0.120588610056107,0.174605575381173,0,0,0,0,0,0,0,0,0
XLM,0,0.163815426649289,0,0,0,0,0,0.482037528400758,0,0,0,0,0,0,0,0,0,0,0,-0.0234107849872609
EOS,0,0.122975063043229,0,0.137668091333628,0,0,0,0.184516970949606,0,0.0200781868376914,0,0,0,0,0,0,0,0,0,0
LTC,0,0.034906099174397,0,0.20155960914811,0,0,0,0.236225678984754,0,0,0.0484351049533862,0,0,0,0,0,0,0,0,0
ADA,0,0.175025341955633,0,0.0796342015223389,0.279367773328618,0,0,0,0,0.0593168070063742,0,0,0,0,0,0,0,0,0,0
XMR,0,0.126267895563857,0,0.0678199176366313,0,0,0,0.0612261753368815,0,0,0.179983225242488,0,0,0,0,0,0,0,0,0
TRX,0,0.0772284123492973,0.203266395323071,0.0256586596875372,0.0098958264016689,0,0,0.277819262176924,0,0,0.0908042428597723,0,0,0.0669316417050234,0,0,0,0,0,-0.0125298468685414
MIOTA,0,0.136350017804371,0,0.125589946698688,0,0,0,0.0110838696186415,0,0.123553880585538,0,0,0,0.143285484908714,0,0,0,0,0,0
DASH,0,0.0734132446896159,0.117505878293756,0.056602056423175,0,0,0,0.0902992402061014,0,0.000000000000000000867361737988404,0,0,0,0.0419847818302513,0,0,0,0,0,0
BNB,0,0.0389442809227464,0,0.0420656757977579,0,0,0,0.0413446822402627,0,0.12869727668256,0,0,0,0,0,0,0,0,0,0
XEM,0,0.0310283870693917,0.0943446915627544,0.108480640241331,0,0,0,0.027045259195293,0,0.154120590715933,0.183866743413265,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0.0764981800111845,0,0,0,0.308587785794399,0,0,0.0741665013030887,0,0,0,0,0,0,0,0,-0.00779881429534746
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0125866069804682
CVIX.INDEX,0,0.00000026125444598385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044591140845563
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0887753220679101
VIX.INDEX,0,0,0,0.00000242232356075331,-0.00000142230915975682,0,0,0,0,0,0,0,0,0.00000158791878823658,0,0,0,0,-3.35868905413927,0
