,BTC,XRP,ETH,BCH,XLM,EOS,LTC,BSV,TRX,ADA,MIOTA,XMR,BNB,DASH,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0712985958427254,0.0340198362128534,0,0,0.00650721492904269,0,0,0,0.0920365580752856,0,0.152765042293742,0,0,0,0,0,0
XRP,0,0,0,0.0501170533797483,0.296565818881464,0.0890208205049421,0,-0.00123033710995024,0,0,0.0324970935488203,0,0.0734996163301758,-0.00000000000000000693889390390723,0,0,0,0,0,0
ETH,0,0,0,0.145578328021514,0,0,0,0,0,0,0,0.0754253178295002,0,0.227846451465972,0,0,0,0,0,0
BCH,0,0,0,0,0,0.145014504337343,0,0.0319731434139015,0,0.136168349040959,0.104291999606528,0,0,0.33512858517742,0,0,0,0,0,0
XLM,0,0,0.134409087645061,0.0706407598873545,0,0.144089404703803,0,0,0,0.157549475895712,0,0.0800497221378401,0,0.0440181177364745,0,0,0,0,0,0
EOS,0,0,0,0.0235738592330901,0.256794746572064,0,0.112679396384089,0,0,0.145309205022386,0,0,0,0.121609013341063,0,0,0,0,0,0
LTC,0,0,0,0.00758522235266708,0,0.171569783876145,0,0,0,0.121384295117423,0.016357532560486,0,0,0.224853107779653,0,0,0,0,0,0
BSV,0,0,0,0.257301383577598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRX,0,0,0,0.178269105732333,0,0,0,0,0,0.135609697651908,0,0,0.0558147994796763,0,0,0,0,0,0,0
ADA,0,0,0,0.247001856517922,0,0.181996019980484,0,0,0.0448700721035013,0,0.00716077001771607,0,0,0.0268979055923505,0,0,0,0,0,0
MIOTA,0,0,0.234603274717144,0.118014703315125,0,0.119657021302891,0,0.023723965371573,0,0,0,0,0,0.234677105954529,0,0,0,0,0,0
XMR,0,0,0,0.169377753844291,0,0,0,0.00537780116487505,0,0,0,0,0,0.209054596918467,0,0,0,0,0,0
BNB,0,0,0.0691548887692052,0,0.0082264998993001,0.113794368077254,0.0997702580212271,0,0,0,0.0659977900562072,0,0,0.0426947525572796,0,0,0,0,0,0
DASH,0,0,0.0758614428843891,0.104015814815352,0,0.180081680214572,0,0,0,0.0965514337512509,0,0.142340985007086,0,0,0,0,0,0,0,0
XEM,0,0,0,0.124039523071424,0,0,0,0.0132775405926233,0.0540294443959388,0,0,0,0,0.154316036784316,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0511879326586482
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0373995064867503
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.118725872714783
VIX.INDEX,0,0,0,0,0,0,0,0.000000534082558153236,0,0,0,-0.00000151312757750379,0,0,0,0,0.357177464994496,0,-2.55479640538403,0
