,BTC,XRP,ETH,BCH,EOS,XLM,LTC,TRX,BSV,ADA,BNB,MIOTA,XMR,DASH,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.124332617742956,0.151835876069653,0,0,0,0,0.0672689971204892,0,0,0.0602032560541213,0,0,0,0,0,0,0
XRP,0,0,0,0.0658489644097053,0,0,0,0,0,0.280690078088008,0,0.0196410713086344,0,0,0,0,0,0,0,0
ETH,0,0,0,0.167333999210514,0.1838478912262,0,0,0,0,0.103645902590083,0,0.0409463831802338,0,0.118262236662676,0,0,0,0,0,0
BCH,0,0,0,0,0.11381188614865,0,0,0,0.100526921125978,0.386971007050949,0,0,0,0,0,0,0,0,0,0
EOS,0,0,0.130106541617847,0,0,0,0,0,0,0.449905494035931,0,0,0,0.0941708220862457,0,0,0,0,0,0
XLM,0,0,0.0147181373073271,0.112042392206521,0.240365215768057,0,0.0861182601912631,0,0,0.0607961974362267,0,0,0.0265660438216656,0.0653599627647351,0,0,0,0,0,0
LTC,0,0,0.168825684319079,0,0.152510689941756,0,0,0,0.0127038616729208,0.190193663618064,0,0.0274770019780343,-0.000000000000000000867361737988404,0.107781699671459,0,0,0,0,0,0
TRX,0,0,0,0.10147948185452,0,0,0,0,0,0.47125165269301,0,0,0,0,0,0,0,0,0,0
BSV,0,0,0,0.63623693940703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADA,0,0,0.276304370718631,0.0860055106272688,0.163955890107532,0,0.138815279382752,0.132617698068672,0,0,0,0.00737909678216271,0.0785069755363111,0,0,0,0,0,0,0
BNB,0,0,0,0,0.171077621488559,0.177920074084594,0,0,0,0.138245500841941,0,0.0362139351863943,0,0,0,0,0,0,0,0
MIOTA,0,0,0.205693490733017,0.0515056757864468,0.151053181529852,0,0,0,0.0409610540848339,0,0,0,0,0.238690896096954,0,0,0,0,0,0
XMR,0,0,0,0.100423846533291,0.125753230804885,0,0,0,0,0.0834303549586475,0,0,0,0.30708043361925,0,0,0,0,0,0
DASH,0,0,0,0.106399324133234,0.183372656818172,0,0,0,0,0.0463574529085114,0,0,0.19010995552887,0,0,0,0,0,0,0
XEM,0,0,0,0.0879420531473825,0,0,0,0,0,0.118295371538253,0,0,0.151001531765453,0.0852451070073101,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0511879326586479
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00332771270616709
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.141599671615705
VIX.INDEX,0,0,0,0,0,0,-0.000000555218088819103,0.0000129541235532303,0.000000451092511065502,0,0,0,0,0,0,0,0,0,-2.34014763484334,0
