,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,MIOTA,TRX,NEO,XMR,DASH,ETC,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.111546433516113,0,0,0,0,0.0468108007040814,0,0,0.0573751086724997,0,0.066662840694852,0.0772238839374641,0,0,0,0,0
ETH,0,0,0,0.00809006753609528,0.0485132684959437,0,0,0,0,0.11631207829559,0.0521980186117196,0,0,0,0.133703267359634,0,0,0,0,0
XRP,0,0,0,0,0.0840672839858142,0,0,0,0.124337019181432,0.175746460785719,0,0,0,0,0.0929986677239741,0,0,0,0,0
BCH,0,0,0,0,0.218807531276302,0,0,0.184611491864049,0.141935706006781,0.238899444314092,0,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0.13248800701046,0,0,0,0.0695978880868687,0.105584613480339,0.146505897040866,0.0581686664730394,0,0,0,0.0529260287832718,0,0,0,0,-0.00336830196159937
LTC,0,0,0,0.305932931572274,0.0336943305111645,0,0,0,0.0940477349084646,0,0,0,0,0,0.0686226327804607,0,0,0,0,0
XLM,0,0,0,0.213978646730818,0,0,0,0.0933386655033782,0.0613090769861328,0,0,0,0,0,0.224347097945758,0,0,0,0,0
ADA,0,0,0,0.205720344970236,0.116765723484688,0,0,0,0.125562649970159,0.0809352652261999,0,0,0,0,0.144077947087574,0,0,0,0,0
MIOTA,0,0,0,0.0441576801347762,0.0745382727409711,0,0.168639694726399,0.151267480512609,0,0,0.346331963562669,0,0,0,0,0,0,0,0,0
TRX,0,0,0,0.171475540167149,0.216643945642551,0,0.00375588037464355,0.138051781212722,0,0,0.0560422848811028,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0.141025142595386,0.063924720013307,0,0,0,0.265179889362056,0.081344036650428,0,0,0,0,0.202237199504423,0,0,0,0,0
XMR,0,0,0,0.353013913574541,0.0410229882893295,0,0,0,0.0180624833319702,0.00000000000000000173472347597681,0.0236212493364477,0,0,0,0.096102374085048,0,0,0,0,0
DASH,0,0,0,0.0876063836562884,0,0,0.141699756367191,0,0.0094996126940607,0,0.062060620498813,0.0298497203539972,0,0.0736876929302499,0.127585809587609,0,0,0,0,0
ETC,0,0,0,0.25127106781404,0,0,0,0,0.0606418241934051,0,0,0.133248472585175,0,0,0.0679288576904854,0,0,0,0,0
XEM,0,0,0,0.158090587080473,0.106779991862718,0,0,0.113878458915611,0.0696868389341554,0,0.0363848179914176,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0713109567894735
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0471205460703876
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
