,BTC,ETH,XRP,BCH,LTC,EOS,BNB,XLM,ADA,TRX,XMR,DASH,BSV,XTZ,MIOTA,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0858489926153212,0,0.0573737709177703,0,0.103641351663157,0,0,0.021909821954159,0,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0.110049379750877,0.224998215446251,0,0,0.0675628465108482,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0.044843228469368,0,0,0,0.210103607254809,0,0.0351832738117685,0.049533745537941,0,0,0,0.0482281489457963,0.0139818743843676,0,0,0,0,0,0
BCH,0,0,0,0,0.230760685708506,0.285991304995541,0,0,0.170580496831189,0,0,0,0.0825235703566329,0,0,0,0,0,0,0
LTC,0,0,0,0.446193587778708,0,0.099839663622308,0.0507074645624685,0,0,0,0,0,0.131473701870375,0.00148225692749556,0,0,0,0,0,0
EOS,0,0.202446355128677,0,0.0342930880584985,0.369567104706499,0,0,0,0,0,0.103570648138752,0,0,0.0111708552294786,0,0,0,0,0,0
BNB,0,0,0,0,0.480619062996291,0,0,0,-0.097020479102771,0,0,0.165425619655659,-0.0889420799044659,-0.0127464901979859,0,0,0,0,0,0
XLM,0,0.0957174154265804,0.0595601542884053,0,0,0.0743373387854872,0,0,0.0716762767232087,0,0.198900828365559,0,0.0466269992346185,0,0,0,0,0,0,0
ADA,0,0,0,0.246474066911701,0,0.331105615295376,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRX,0,0,0,0.0221468053934391,0,0.123736386423175,0,0,0.0175156630784364,0,0.216235433542585,0.0155274043610346,0.0452734890668372,0,0,0,0,0,0,0
XMR,0,0.238843519217276,0,0,0,0.126539260727641,0.0191962123477901,0.0374372459108942,0,0,0,0.0878863361391387,0,0.0176923147474797,0,0,0,0,0,0
DASH,0,0.207601139038519,0,0,0,0.167070071946458,0,0,0.0249186651996633,0,0.105403653967319,0,0.0952911562856583,0.00507830481075953,0,0,0,0,0,0
BSV,0,0.0154748438845783,0,0.114343065223809,0.223438143583898,0.0142439965675545,0,0,0.1030506464121,0,0.0675404245781453,0,0,0,0,0,0,0,0,0
XTZ,0,0,0,0,0,0.17839690433097,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIOTA,0,0.0671580509650578,0,0,0,0.209588457843489,0,0,0.0992107683226874,0,0.0672673921716584,0,0.0103205017715327,0.00602597911727964,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,-0.0169379008993835,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0327321749905188
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0671453090096007
VIX.INDEX,0,0.00247434323143419,0,-0.00990507747173917,0,0,0.00245771054107083,0,0,0,0,-0.00204686900782209,0,0.00263681381439444,0.00494837772121856,0,0,0,-1.31793815400124,0
