,BTC,ETH,XRP,BCH,LTC,DASH,XEM,NEO,MIOTA,XMR,ETC,ZEC,ADA,XLM,EOS,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0138866025509958,-0.0000000000000000138777878078145,0,0.145507206415263,0.0554568988984445,0.0671285173449862,0,0.130991731484002,0,0,0.0232135417781668,0,0,0,0,0,0
ETH,0,0,0,0,0.0857214144018753,0,0.0170944081278254,0,0.0915177078382964,0,0,0,0,0.0567280575607555,0,0,0,0,0,0
XRP,0,0,0,0,0.197674035830251,0,0,0,0,0.212320407960517,0,0,0,0.119000806193452,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0.214656515410586,0.0160339416630081,0.0303214250934768,0,0.223688433518885,0,0,0.113277399076164,0,0,0,0,0,0
LTC,0,0,0,0.0128212935779411,0,0,0,0.0167996261724968,0.025966424849176,0.0157736520478906,0.641377890129041,0,0,0.00809954375345196,0,0,0,0,0,0
DASH,0,0,0,0.0327989237329314,0,0,0.148443256019543,0,0.0683538356056267,0,0,0.051940919464449,0,0,0,0,0,0,0,0
XEM,0,0,0,0.0285172103107136,0.113574546417138,0,0,0.087615472530683,0.133555797469422,0,0,0,0,0.0827225364359922,0,0,0,0,0,0
NEO,0,0,0,0,0,0,0.562745586675595,0,0,0,0,0,0,0.121805860370795,0,0,0,0,0,-0.110513085818279
MIOTA,0,0.100968204806753,0,0.0095264379194512,0,0.272526261429482,0.0907855711290271,0.086991980791387,0,0,0,0,0,0,0.35097151487784,0,0,0,0,0.0129485421474634
XMR,0,0,0.0659288971210261,0.0157974493805289,0,0,0,0,0.0366444966462017,0,0,0.151633880679059,0,0.097839054632541,0,0,0,0,0,0
ETC,0,0,0,0,0.336716355670761,0,0,0,0,0,0,0.058334335255489,0,0.0345724474707573,0.0152529592057205,0,0,0,0,0
ZEC,0,0,0,0,0,0.109927857437356,0.0805289218755609,0,0.00000000000000000346944695195361,0,0.127060225513985,0,0,0.180321362126982,0.192879660410247,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XLM,0,0.233861900550022,0.372568020466384,0,0,0,0.000369748167063361,0,0,0.0911613091316528,0.264803140919931,0.163034997750402,0,0,0,0,0,0,0,0
EOS,0,0,0,0,0.104771244216372,0,0.0802167075095291,0.0458727128626869,0.0295931390352015,0,0,0.0238877327148489,0,0.0557181083335241,0,0,0,0,0,0
BV010082.INDEX,0,0,-0.0204554209422167,-0.00915752135388338,0,0.00857170795512617,0,0,-0.00987689452633651,0,-0.0204192716789977,0,-0.0102750060650718,0.0151792453607201,0.0409757681863285,0,0,0,0,-0.0284184723216821
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,-0.00494231614419452,0,0,0,0,-0.00768904541050021,0,0,0,-0.00126026015375779,0,0,0,0,0.00406052901510828,0,0,0,0,-0.00252940589110218
SPX.INDEX,0,0,0,-0.00000109315499306824,0,0,0,0,0,-0.0000035785339739162,0,0,0,0,0,0,0,0,0,-0.0365124778127864
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
