,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,XLM,TRX,ADA,XMR,LEO,HT,LINK,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.297601898471277,0,0.0690066313968901,0,0,0.0927260055040247,0.0320814628070356,0,0,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0.207941463217391,0,0.201508910204511,0,0,0.0183937686055077,0.0720050289763694,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0.000541299620072038,0,0,0,0,0.177829535067112,0.171040517052012,0.0587267288021887,0,0,0,0,0,0,0,0,0
BCH,0,0.153566015399973,0,0,0.0385296060267103,0.019974737454834,0.0344206730842469,0.212721431606426,0,0.137487017812898,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0.201710817943313,0,0.191744999816448,0,0,0,0.0963403246031878,0.0423583170984729,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0.278166595827076,0.024983430384566,0,0,0,0,0.128452919551459,0,0,0,0,0,0,0,0,0,0
BNB,0,0,0,0.224197535955836,0,0,0,0.0193544696487164,0.0105745292223753,0.129620051347492,0.0790731343546237,0,0,0.0249696531147248,0,0,0,0,0,0
BSV,0,0,0,0.544370715834816,0,0.0349119570251078,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XLM,0,0,0.263953004584752,0,0,0,0,0.0423479796876729,0,0.189418984802635,0,0,0,0,0,0,0,0,0,0.0115120243724097
TRX,0,0,0,0.193461479695018,0,0.0862868335189363,0,0,0.0783314910227362,0,0.490448221619996,0,0,0,0,0,0,0,0,0
ADA,0,0,0.0117186200314097,0,0.118934797043574,0.124753552915527,0.0462871919124739,0.0857611938001042,0,0.227075347356243,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0.27866343631891,0.169065490140198,0,0,0.116494586316056,0,0,0,0,0,0,0,0,0,0,0,0
LEO,0.0341766938047403,0,0,-0.0252375051840138,0.244099381627682,0,0,-0.00860787964199733,0,-0.0710293132621257,0,0,0,0,0,-0.036290510097092,0.0590927030933667,0,0,0.000000000000000000867361737988404
HT,0,0.0328607440218602,0,0.0866890007668437,0,0.0712231049108916,0,0,0.0417211299695255,0.0670158394964298,0,0,0,0,0,0,0,0,0,0
LINK,0,0,0.207472265580358,0,0,0,0,0,0,0.0933778673389545,0,0,0,0,0,-0.120535274553067,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0.00468548683636474,0,0,0.00985803129571754,0.00000233881919916115,0,0,0,0,0,0,0,0,0,-0.158274515506546
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0.000000214356797707985,0,0,0,0,0,0,0,0,0,0,0,-0.0854852121193731
VIX.INDEX,-0.00000324286801922789,0,0,0.00000503993430229284,0,0,0,0.00000334605678309578,0,0,0,-0.00000444729500270192,0,0,0,-0.0523044942365426,0,0,-4.84281998682406,0
