,BTC,ETH,BCH,XRP,LTC,ADA,MIOTA,DASH,XEM,XMR,BTG,EOS,XLM,NEO,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.151837755065387,0,0.0288670382833597,0.0213460927998313,0,-0.0528641706061907,-0.0489780269067195,0,0.0278533472809065,0.181042398400358,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0.15938985754916,0.0156410674558321,0,0,0,0,0,0,0,0.0429698468145069,0.0441352404670032,0,0,0,0,0
BCH,-0.0485957772756517,0,0,0,0,-0.0603511577157117,0,0.194898469150923,0.0558229733168828,0,0.0532358036168336,0.241441900928699,0,0.105918030464315,0.068018903712365,0,0,0,0,0
XRP,0,0,0,0,0,0.0764855376833958,0,0,0.115155532432978,0,0,0,0,0,0,0,0,0,0,0
LTC,0.0610166199792563,0.0706293917362253,0,0,0,0,0.0408162170925105,0,0.212752519268428,0,0,0,0,0,0.0648182222339691,0,0,0,0,0
ADA,0,0,0,0.0204660462558314,0.124426698382392,0,0.0451439752672658,0,0.0208447180606182,0,0,0.0288236306904387,0.176208083488261,0,0.227620178582098,0,0,0,0,0
MIOTA,0,0,0,0,0,0.140612874629785,0,0,0.149878943545964,0.125316434390555,0,0,0.130835809885393,0,0.174959346960056,0,0,0,0,0
DASH,0,0.00235860308038068,0.103901349805176,0,0.0622835173918868,0.0300864487099434,0,0,0.0104917435834976,0.087742254996118,0,0,0,0.185133674745514,0,0,0,0,0,0
XEM,0,0,0,0.0920309124384208,0,0.169090371168076,0.0743715451886547,0,0,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0,0,0.0215053693963136,0.0554543501460986,0.158566990374506,0,0,0.00125422714044359,0,0.104334550970352,0.0816082924834174,0.052743775037492,0,0,0,0,0
BTG,0,0,0.487452140748377,0,0,0.012449238719382,0,0,0,0,0,0,0,0,0.0801752894221018,0,0,0,0,0
EOS,0.221814410335544,0,0.199994918741463,0.104779479934839,0.179045267952498,0.0489282232252166,0.160017743408955,0,0,0,0,0,0.0990042935370504,0.100485162388649,0,0,0,0,0,0
XLM,0,0,-0.0462938264794981,0.016133056722461,0,0.250380769683454,0.14296929506364,0,0,0.183882713589457,-0.019764179809033,0.070962836324626,0,0,0,0,0,0,0,0
NEO,0,0,0,0,0.0453563674514976,0.0482002629849573,0,0,0.021151852683742,0.060767256638494,-0.0317972505261928,0.0932601678416851,0,0,0.0830726732895584,0,0,0,0,0
ETC,0,0,0.0685087524206713,0,0,0.109034102858374,0,0,0.0965899076752285,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,-0.0210933899727234,0,0,-0.000680271574027746,0,0,0.00857350426161716,0.0383657227737212,0,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,-0.0000000251377449884584,0.00000000258390196977578,0,0,-0.00000000897504867241226,0.0000000403913907653509,0,0,0,0,0,0,0,-0.0123791888292898
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
