,BTC,ETH,XRP,BCH,LTC,DASH,XEM,NEO,XMR,MIOTA,ETC,ADA,ZEC,XLM,EOS,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0325296101540393,0,0,0.000996444457210329,0,0.226596036419984,0.0441344345278852,0,0.017200957499785,0.140932706051212,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0.167482643335862,0,0.0130158351864354,0.0276942185076774,0.0165806676532217,0.11998690017565,0,0,0,0.00529127796252397,0,0,0,0,0,0
XRP,0,0,0,0,0,0,0.110858068252153,0.0218862638415484,0.210700740184611,0.0597747652775196,0,0,0,0.0712080447188809,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0.148408586796823,0,0,0.25714907597574,0,0,0.0110375338325787,0,0,0,0,0,0
LTC,0,0,0,0,0,0,0.0266776166042512,0.065141465395501,0.0400207609551078,0.056557285020996,0.668933067110454,0,0,0,0.0300567258890041,0,0,0,0,0
DASH,0,0,0,0,0.0322552489431907,0,0.134197320602558,0.0143375205091782,0,0.0625424492771249,0,0,0.156323969264624,0,0.0352199592202863,0,0,0,0,0
XEM,0,0.336219499997753,0,0.0568456426308643,0.0587395589880667,0,0,0.00316209331333357,0,0.119692706881009,0,0,0,0.00941825210973486,0,0,0,0,0,0
NEO,0,0.47175691933252,0,0.36747767886572,0,0,0,0,-0.123899621900289,0,0,0,0,0.0678910078546703,0.0696288619091327,0,0,0,0,0
XMR,0,0,0.104857863704292,0,0,0,0.157076605859272,0.0182967950460148,0,0,0,0,0.251871223779302,0.0135565405917845,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0.119498435398375,0.216151998127371,0.0504776945465469,0,0,0,0,0.164607779112493,0.0432587905018913,0.123103908478724,0,0,0,0,0
ETC,0,0,0,0,0.33019156775297,0,0,0,0,0.0567650142439071,0,0,0,0.00505411583468312,0,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZEC,0,0,0,0.0494400834056726,0,0,0.153340114815937,0,0.0536200712562354,0.0731364723332049,0,0,0,0,0.222948514911594,0,0,0,0,0
XLM,0,0,0.396169814635389,0,0,0,0,0.0266491160719252,0.124780667776434,0.14652360413956,0.305295708976984,0,0.0893237498430888,0,0,0,0,0,0,0
EOS,0,0,0,0,0.115402929323682,0,0,0.095468902755701,0,0.0220508539782969,0,0,0.0931096326493888,0,0,0,0,0,0,0
BV010082.INDEX,0,0,-0.00297095656883046,0,0,0,0,0,0,0,-0.0114685877996973,0,0,0,0.00896878119559891,0,0,0,0,-0.0507021304792593
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,-0.000306302552381056,0,-0.00109186639383035,0,0,0,0,0,0,0,0,0,0,-0.0252260518839895
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
