,BTC,ETH,XRP,BCH,EOS,XLM,LTC,XMR,ADA,DASH,MIOTA,TRX,ETC,NEO,XTZ,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0958369451070421,0.0609180899564657,0,0,0.0164420081754441,0,0,0.0435413277973835,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0.0343372985888821,0.0981434671553126,0,0,0,0,0,0.15669753494934,0.133101179549225,0,0,0.00408349985508507,0,0,0,0,0
XRP,0,0,0,0,0.0612159775036421,0,0,0,0,0,0.258429041387466,0,0,0.101519555893325,0,0,0,0,0,0
BCH,0,0,0.0299476743066676,0,0.0195951951665313,0,0,0.0126881401393497,0.230188767296682,0,0.0747555242155122,0.110213140727329,0,0.0532942979007118,0,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0,0,0,0.12286737016987,0.150615304842363,0,0.205070043778047,0,0,0,0,0,0
XLM,0,0,0,0,0,0,0,0,0.367264100348661,0,0,0,0,0.165575068092847,0,0,0,0,0,0
LTC,0,0,0,0.238529520596814,0.0339750920452743,0,0,0.00801970297216139,0,0,0.0964147594227687,0,0,0.129960880773521,0,0,0,0,0,0
XMR,0,0.34077988162112,0,0,0,0,0.00412724113305474,0,0.0422702131764358,0,0.114580852842607,0,0,0.20021361896937,0,0,0,0,0,0
ADA,0,0,0,0.0531632306091803,0.160404191008443,0,0,0,0,0.055863153367834,0,0.212298285696895,0,0.184903700809806,0,0,0,0,0,0
DASH,0,0,0,0,0,0,0,0.0681171182374339,0,0,0.0659999158684437,0.0631743880672272,0,0.306008970407882,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0,0,0,0,0.181419241936974,0,0.670267021685273,0.0870505899507873,0,0,0,0,0
TRX,0,0,0,0,0.105986497486186,0,0,0,0.148565170975004,0,0.19487106403713,0,0,0.242694233428264,0,0,0,0,0,0
ETC,0,0.205743720970991,0,0,0.0881284575287795,0,0,0,0,0,0.184970772695766,0,0,0,0,0,0,0,0,0
NEO,0,0,0.0613034760985633,0,0.218639754134476,0,0,0,0,0.00898221388892749,0.334117309295148,0.0621621067902444,0,0,0,0,0,0,0,0
XTZ,0,0.0140962082917993,0,0,0.0533629762427185,0,0,0.0179054130875128,0,0,0,0.106061995787367,0.222893348426745,0.116948907906044,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,-0.000286541096312658,0,0,0,0,0,0,0,0,0,0,0,-0.0570343092464295
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,-0.00244716641217602,0.000421566940398858,0,0,0,0,0,0.000495047577758618,0,0,0.0000770801631898272,0,-0.000220137332835826,0,0.0755848275623955,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0460485560415543
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
