,BTC,ETH,BCH,XRP,LTC,ADA,MIOTA,DASH,XEM,XMR,BTG,EOS,XLM,ETC,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.163521421720325,0,0.03252584310648,0.0273003663245769,0,0,0,0,0.00958359488916215,0.0762294434229077,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0.205889784900374,0.00927933383222356,0,0,0,0,0,0.0139283589523075,0,0.138308528473448,0.0389547229668565,0,0,0,0,0
BCH,0,0,0,0.136293755787497,0,-0.0531938170181351,0,0.138291887135883,0.0597718106764752,0,0.116961630059947,0,-0.0217571103828898,0,0.292828537582643,0,0,0,0,0
XRP,0,0,0,0,0.0493431610704736,0.0898362325356301,0,0,0.102888542690316,0,0,0.0380079435404309,0.00000000000000000173472347597681,0.0201253576696751,0,0,0,0,0,0
LTC,0,0.193466755354396,-0.0351693541832326,0,0,0,0.0535356630502711,0,0.128156923917116,0,0.00316069419719467,0,0,0.0718598077788826,0,0,0,0,0,0
ADA,0,0,0,0.11260442888147,0.0626219654341586,0,0.0791676633703712,0,0.0251762183438014,0.0244376870952371,0,0,0,0.224437396860863,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0.103730566871752,0,0,0.161151635842792,0.0802525642369754,-0.0279969798858786,0,0.12396506458913,0.21877101248591,0,0,0,0,0,0.147005283347283
DASH,0,0,0.0396313584060012,0,0.0416979045045038,0.0646939234849285,0,0,0.023709468278792,0,0,0,0,0,0.0493363221378701,0,0,0,0,0
XEM,0,0,0,0.0920309124384208,0,0.169090371168076,0.0743715451886547,0,0,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0,0,0.0581074869033078,0.100143594871492,0.191735355960403,0,0,0,0.0513606070330508,0.0242768874264262,0.107000200815676,0.0383771991342405,0,0,0,0,0
BTG,0,0,0.41872322407037,0,0,0.00440850785521954,0,0,0,0,0,0,0,0.0815096948736952,0,0,0,0,0,0
EOS,0.130012018088037,0,0.0271182756123031,0.150601022502724,0.186179571119411,0.0383279649645395,0.0499402283248572,0,0,0.178043504795624,0,0,0,0,0.141243255634281,0,0,0,0,0
XLM,0,0,0,0,0,0.24925345204553,0.1334493752673,0,0,0.30237269164422,-0.0208479249145003,0.059460963291335,0,0,0,0,0,0,0,0
ETC,0,0,0.0793889638525344,0,0.0116774858400901,0.113868535932737,0,0,0.0951440064059744,0,0,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0.131503783136932,0,0.035558769004398,0,0,0.0136478943259711,0,-0.0158947832652556,0.0678930788974078,0.0629721389819403,0.0708701574601808,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,-0.0108848036663387,0,0,-0.000795616006873072,0.00733797473363312,0,0.0245147480529486,0.0113649638536936,0,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,-0.0000000189921916514557,-0.0000000000000000000000000129246970711411,0,0,0,0,-0.0000000014246984922506,0,0,0,0,0,0,-0.0123792628583072
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
