,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,ADA,ETC,XMR,TRX,XLM,XTZ,DASH,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.12057137046982,0.0133977165037526,0.0731047678524076,0.0321203524294402,0,0.0704794960739801,0,0,0.0635284907630534,0,0,0.0115124025536962,0,0,0,0,0
ETH,0,0,0,0.0982929240559011,0.0291021765103651,0.111211708803623,0.0238685992350171,0,0.0756414101920159,0,0,0,0,0,0.041090177795393,0,0,0,0,0
XRP,0,0,0,0.0851482779440462,0.0433872520104764,0.0826432090003411,0,0,0.0500853164998195,0,0,0.0791200237037551,0,0,0.0211067324986569,0,0,0,0,0
BCH,0,0,0,0,0.240473139886252,0.121487420663851,0,0,0,0.104961321157956,0,0,0,0,0.0692889710693088,0,0,0,0,0
BSV,0,0,0,0.45392728414785,0,0,0.261773308201153,0,0,0.0285872968071886,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0.252425835810838,0.0317102009198228,0,0.258201551703872,0,0.0313921206360863,0,0,0,0,0,0.0324891930024896,0,0,0,0,0
EOS,0,0,0,0.113407747341405,0.126102840579153,0,0,0,0,0,0,0,0,0,0.0465503188218119,0,0,0,0,0
BNB,0,0,0,0.120814694417617,0,0.198513490624094,0,0,0.00637637711623334,0,0,0,0,0,0.0710055004209704,0,0,0,0,0
ADA,0,0,0,0.0234555466035768,0.0211017027116334,0,0.17577034820264,0,0,0.0990743231379536,0,0.241691959499,0,0,0.0103053953443651,0,0,0,0,0
ETC,0,0,0,0.261758587545047,0.00000000000000000346944695195361,0,0,0,0,0,0,0,0,0,0.335659419467125,0,0,0,0,0
XMR,0,0,0,0.0705269356202556,-0.0116743681730921,0,0,0,0.14138721138832,0.0407978780494287,0,0,0,0,0.179096217483115,0,0,0,0,0
TRX,0,0,0,0.0620081476944209,0.034934646947291,0.1197435579241,0,0,0.24544531062239,0.0193064856168613,0,0,0,0,0.0375595464959358,0,0,0,0,0
XLM,0,0,0,0.0887444841198819,0,0,0,0,0.223550424337206,0,0,0,0,0.0309463534675649,0.131626940663165,0,0,0,0,0
XTZ,0,0,0.219118540646363,0,0,0,0.0367902245712961,0,0,0,0.105338301543673,0,0,0,0.00161802572198604,0,0,0,0,0
DASH,0,0,0,0.0546774368808872,0.176732766480876,0,0,0.317517967777223,0,0.0494545311759528,0.456033317539804,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0.011705329977212,0,0,0,0,0,0,0,0,0,-0.00924634410435759,0,0,0,0,-0.0704183636662658
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0.000013304579049905,0,0,0,0,0,0,0,0,0,-0.00000583806196788882,0,0,0,0,-0.0562761031918341
VIX.INDEX,0,0,0,0,-0.00560601977479479,0,0,0,0,0,0,0,0,0,0.00278756906198242,-0.354487424008809,0,0,0,0
