,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,MIOTA,TRX,XMR,NEO,DASH,ETC,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0194181979233019,0.0389465406381727,0.0132351650429348,0,0,0,0.0129112209055527,0.103832378906893,0,0,0,0.0599898808373895,0,0,0,0,0
ETH,0,0,0,0.252554484404239,0,0,0,0,0.0417825316242095,0.207944618639267,0,0.0544631763265017,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0.111788548326979,0,0,0,0.0946141879749064,0.103288806888214,0,0.0240245205018369,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0.261001546636958,0,0,0.0936383583721515,0.00281699664271114,0.143959153663002,0.00506810997320947,0.0114889154437088,0,0,0,0,0,0,0,0
EOS,0,0,0,0.0439636758298664,0,0,0,0.0829166282932654,0.125781052406714,0.154144878674372,0.0714947019779273,0.0478007704573295,0,0,0,0,0,0,0,0
XLM,0,0,0,0,0.043350928921668,0,0,0.577803074385689,0,0,0.0429076957229323,0,0,0,0,0,0,0,0,-0.0154491378441614
LTC,0,0,0,0.329456726315027,0.0409852576651693,0,0,0,0.066695556460319,0,0.0543806256909273,0,0,0,0,0,0,0,0,0
ADA,0,0,0,0.0762460887669956,0.150877668477188,0.166117366539553,0,0,0,0.152707265356559,0,0.0420041581628557,0,0,0.0745993671662147,0,0,0,0,0
MIOTA,0,0,0,0,0.10059222819895,0,0,0,0,0,0,0.56964655212167,0,0,0,0,0,0,0,0
TRX,0,0,0,0.305472524036242,0.127570427365704,0.0459875943765498,0,0.0623754335598625,0,0,0,0.0661069417335708,0,0,0,0,0,0,0,0
XMR,0,0,0,0.589845120574751,0,0,0,0,0,0,0,0.105757225719744,0,0,0,0,0,0,0,0
NEO,0,0,0,0,0.100856344300277,0,0,0.0718897822346909,0.23746026246038,0.0925577618659877,0.190918322477136,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0.131599605747536,0.0449271614249485,0.0468848401675415,0,0,0,0,0,0.211254678935696,0,0.069448145233106,0,0,0,0,0,0
ETC,0,0,0,0.181083837422125,0,0,0,0,0.0648745160101957,0,0.161870510680166,0,0,0,0,0,0,0,0,0
XEM,0,0,0,0.0342171632432044,0.141434833900836,0.0616833301306112,0,0.255696346160623,0,0,0,0.0286790603962094,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0.00466151476819865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0676012165445169
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0600998402775873
VIX.INDEX,0,0,0,0,-0.0000000000000000000542101086242752,-0.00000721969890352223,0,0,0,0,0,0,0,0,0,-0.438622677279692,0,0,0,0
