,BTC,ETH,BCH,XRP,DASH,BTG,LTC,MIOTA,ADA,XMR,ETC,NEO,XEM,EOS,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.123025315517953,0,-0.0947713025640111,0.025735261697733,0.0815364424435165,0,0.0374556105705544,0,0,0,0,0.144894775298008,0,0,0,0,0,0
ETH,0,0,0,0.0148000077725522,0.0553985751456106,-0.00422076707796159,0,0,0.0353537798530894,0.0295103805081042,0.131363946880845,0,0.0910220250147629,0.0756629718992851,0,0,0,0,0,0
BCH,0,0,0,0,0.195916240103519,0.0742448942679651,0,0,-0.0488197538453675,0,0.0624995862884274,0.222800844384539,0,0.135483528124595,-0.0184287878563582,0,0,0,0,0
XRP,0,0,0,0,0,-0.0201437570365904,0,0.0789641142208368,0.0777354659314752,0,0.0609052477649828,0,0,0,0.0429120015474485,0,0,0,0,0
DASH,-0.110040803704582,0,0.0077480294801123,0,0,0.00373377524435671,0,0.0315165955147188,0,0.262018905249755,0,0,0,0.0207076368580209,0,0,0,0,0,0
BTG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0.0565741937465909,0,-0.00208537366447975,0,0.0350138486139269,0.0675115693382232,0,0.092676614351098,0,0,0.0258355895770935,0,0,0,0,0,0
MIOTA,0,0,0,0,0,-0.0383989589383383,0,0,0.269410383847505,0.026309471767041,0.0436686013130796,0,0,0,0.0647208258696196,0,0,0,0,0
ADA,0,0,-0.126739947014907,0,0,0.00000000000000000173472347597681,0.26397968522112,0.17745414011131,0,0.0624867003019359,0.150546626415902,0,0.444748589511097,0,0,0,0,0,0,0
XMR,0,0,0,0,0.102632411079816,0,0,0,0.135122360609004,0,0.0452683299911405,0.0727344957547019,0,0,0.0284422736824419,0,0,0,0,0
ETC,0,0,0.143244101237271,0,0,0,0,0.0804189114074631,0.176739758906294,0,0,0,0,0,0.00891077516932346,0,0,0,0,0
NEO,0,0,0,0,0,0,0,0,0.00288752642345092,0,0.0508399207222978,0,0,0.0592245783286008,0.169628094870387,0,0,0,0,0
XEM,0,0,-0.00510086069501767,0,0,-0.0196491273826678,0,0.00387164746463893,0.110873621830884,0,0.0906904437100885,0,0,0,0,0,0,0,0,0
EOS,0,0,0.116134415019991,0,0,-0.00890968690088961,0.197359387083723,0.130336075538751,0,0,0,0.155904441237697,0,0,0,0,0,0,0,0
XLM,0,0,0,0,0,-0.0120044454369881,0,0.286763124046995,0.184872226406676,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,-0.00509812059911639,0,0,0.0295884736040075,0,0.0192836794198802,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0219938100827113
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
