,BTC,ETH,BCH,XRP,BTG,LTC,DASH,MIOTA,ETC,XMR,ADA,NEO,XEM,XLM,EOS,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.140491721299119,0,0.00952032332895107,0.0811958448833221,0,0,0,0,0.00725774377549057,0,0,0,0.136672411301246,0,0,0,0,0
ETH,0,0,0,0.0102127272005221,-0.0136663310029909,0.0420378202169549,0,0,0.0489267138423595,0.0942364964213045,0,0.0810538535085243,0.0758538132315488,-0.000000000000000000867361737988404,0.0884816399054395,0,0,0,0,0
BCH,-0.146603479881445,0,0,-0.120053194194193,0.103123364669816,0,0.240868846340904,-0.111275213009541,0.140653288024324,0,0,0.160249246739718,0,0,0.102903200565496,0,0,0,0,0
XRP,0,0,0,0,-0.021225557138745,0,0,0.0588066335065629,0.0697045424595035,0,0.0757723663965664,0.0188853058738438,0,0.0358897549847046,0,0,0,0,0,0
BTG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0.201833095105899,0,0.0900186987759162,-0.000307837498643452,0,0,0.0559486081209056,0.0731075192134297,0,0,0,0,0,0.00167980347263918,0,0,0,0,0
DASH,-0.0189256179602875,0.041049660972763,0.0200461060904334,0,0,0,0,0.0617822118597786,0,0.179404317035706,0,0.041056118906435,0,0,0,0,0,0,0,0
MIOTA,0,0,0,0,-0.0353901715098092,0,0.0606424219740391,0,0.154994808114012,0,0.260014263583278,0,0,0.0649265932007897,0,0,0,0,0,0.0893626810261737
ETC,0,0,0.12006672563222,0,0,0.0394456310128984,0,0.0953287550893709,0,0,0.0545026163349879,0,0,0,0.0277574938390675,0,0,0,0,0
XMR,0,0,0.0313669627796452,0,0,0,0.18838519969526,0.0915770019954906,0.116515201433694,0,0.0841348014038774,0.0154531636802389,0,0.0239515061693749,0,0,0,0,0,0
ADA,0,0,-0.181040095598701,0,-0.0116341815141574,0.143692317223064,0,0.165386687912181,0.0346155931399779,0.129171540766425,0,0,0.363681294221437,-0.0710014246621809,0,0,0,0,0,0
NEO,0,0,0,0,0,0,0,0,0.045379628492896,0,0,0,0,0.171896175273803,0.0588329832397238,0,0,0,0,0
XEM,0,0.0671251357436907,-0.0354423686412264,0,-0.0140635369721177,0,0,0,0.0503998253044382,0,0.0789760162229324,0,0,0.0381568931235305,0,0,0,0,0,0
XLM,0,0,0,0,-0.0143816671032449,0,0,0.241515382648886,0,0,0.0928107561084529,0.193217558917318,0,0,0,0,0,0,0,0
EOS,0,0,0.103458073425217,0.14756765817369,0,0.187853610056697,0,0.141849112020323,0.079549543751243,0,0,0.160006120982173,0,0,0,0,0,0,0,0
BV010082.INDEX,0,-0.00962741393129401,0,-0.0135487249336337,0,0,0,0,0,0.0160774609771201,-0.00785186182468358,0.0092719841333302,0,0.0060055514073,0.0327093437917448,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.026522535453876
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
