,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,TRX,MIOTA,ETC,DASH,NEO,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.101577706865004,0.0190266423772018,0,0,0,0.111892370841871,0.00248144493506977,0,0,0,0,0.0620428738624799,0,0,0,0,0
ETH,0,0,0,0,0,0,0,0.0405534968198519,0,0.105223677527558,0,0.0914523961780641,0,0.194368414191543,0,0,0,0,0,0
XRP,0,0,0,0,0.173820313310159,0,0,0,0,0.0711671348343223,0.260480203341326,0,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0.134930638588726,0.136976631336549,0.237351274052888,0.0217342711024795,0,0,0,0.0789976045426078,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0.0000162036606867052,0.0346302324239901,0.174838338849741,0.0363359818485103,0,0,0.248233545696008,0.0316674555815052,0,0,0,0,0
XLM,0,0,0,0,0,0,0,0.34431602196479,0.0958024320063771,0,0,0,0,0,0.228796256605973,0,0,0,0,0
LTC,0,0,0,0.402786227948586,0.105475643346945,0,0,0,0,-0.000000000000000000867361737988404,0.0527545512428243,0.0475335844455748,0,0,0,0,0,0,0,0
ADA,0,0,0,0,0.146493987833895,0.1169764923525,0,0,0.0316803664133849,0.169002127055683,0,0,0,0.0667583846066305,0.0739069510894772,0,0,0,0,0
XMR,0,0,0,0.605484454382515,0,0,0,0,0,0,0.0709257192098201,0,0,0,0,0,0,0,0,0
TRX,0,0,0,0,0.182465542564152,0.0567348306918459,0,0.18522708032561,0,0,0.177056363674588,0,0,0.00606142362319907,0,0,0,0,0,0
MIOTA,0,0,0,0,0.137422875173526,0.00528955095604368,0,0,0,0,0,0.107452577484825,0,0.53939473643521,0,0,0,0,0,0
ETC,0,0,0,0,0.0365880768336378,0,0.0903904507531872,0,-0.000000000000000000867361737988404,0,0.402625773473297,0,0,0,0,0,0,0,0,-0.0352747466827762
DASH,0,0,0,0,0,0,0,0.0864524212442783,0.0767936388625314,0,0.144011172618662,0,0,0.129747923854832,0,0,0,0,0,0
NEO,0,0,0,0,0.0417246546690803,0,0,0,0.100325719198553,0.177249776427473,0.334192787297223,0,0,0,0.180035561339855,0,0,0,0,0
XEM,0,0,0,0,0.0259273090868248,0.0941604471983793,0,0.216800370527758,0.0119019161281245,0,0.129175704842487,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0.0266634135970032,-0.0114587070897683,-0.0146328641249434,0,0,0.0229974440036008,0,-0.102434672323702,0,0,-0.0228059352379196
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00000254085916495508,0,0.0381241899228275,0,0,-0.00957487870807723
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0471205905119006
VIX.INDEX,0,0,0,0,0,0,0,-0.00000153870334071425,0,0,-0.000000820922077889129,0,0,0.00000177580754307257,0,0,0.974899674194287,0,0,0
