,BTC,ETH,XRP,ETC,XEM,LTC,DASH,XMR,ZEC,XLM,DOGE,DGB,BAT,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0.00924548731411879,0,0.101849718509737,0,0,0,0.00657964864462147,0,0.047816509648592,0,0,0,0,0
ETH,0,0,-0.0663731244396588,0.148736400560224,0,0,0,0,0.131083610428468,0,0,-0.0145977682165181,0,0.0642112890709901,0,0,0,0,0.0459197248951282
XRP,0,0,0,-0.127835404519818,0,0,0,0,0,0.448274895448065,0,0,0,0,0,0,0,0,0
ETC,0,0.213135580541318,-0.132323979878771,0,0,0,0,0,0,0,0,-0.0522304663932184,0,0.337640281082395,0,0,0,0,0
XEM,0,0,0.211114109265377,0,0,0.178531836171973,0,0,0.103940061579852,-0.000000000000000000867361737988404,0.182611965871666,-0.00748106778473173,0,0,0,0,0,0,0
LTC,0,-0.228397693056392,0,0,0.00494337699285666,0,0,0.458668299322782,0,0,0.0407493594457131,-0.0634660719462123,0,0.217836962493352,0,0,0,0,0.0582642253754652
DASH,0,0,0,0.0362478052720078,0,0,0,0.240601913034789,0,0,0,0,0,0.109892800922419,0,0,0,0,0
XMR,0,0,0,0,0.0791725107218573,0.00932262705686286,0.299740747517366,0,0,0.0662323937754487,0,0,0,0,0,0,0,0,0
ZEC,0,0.260717096610252,0.0265653453815039,0,0,0,0,0.0238376671588087,0,0.00975803170104552,0.0570656863771164,0,0,0.0475203924904394,0,0,0,0,0
XLM,0,0,0.56708820150045,0,0,0,0,0.14674182979598,0,0,0.0519769481216624,0.016801751692832,0,0,0,0,0,0,0
DOGE,0,0,0,0,0.161340971063638,0.263816200128919,0.0413152860089855,0,0,0.0822544008112503,0,0.0776203530670775,0,0.0508369987935797,0,0,0,0,0
DGB,0,0,0,0,0,0,0,0.22784777267345,0,0.343377617195136,0.321875704337449,0,0,0,0,0,0,0,0
BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEO,0,0,0.0529446432221725,0.31900084152705,0,0.0562366798875462,0,0.0945634445714767,0.117032810688989,0,0.0566212220899537,0,-0.0500044158458707,0,0,0,0,0,-0.124606368854733
BV010082.INDEX,0,0,0,0.000744238294831982,-0.000023347536927447,0,0,0,0,0,0,0,0,0.024748624293955,0,0,0,0,-0.0507744771122194
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0.00288377659009352,0,0,0,0,0,0,0,-0.000245363301072172,0,-0.00286480991491685,0,0.000561794144696338,0,0,0,0,0
SPX.INDEX,0,0,-0.00000000000000000000000330872245021211,0,0,0,0,0,0,0,0,0.0000391412418605545,0,0,0,0,0,0,-0.0157374764925602
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
