,BTC,ETH,XRP,BCH,LTC,ADA,EOS,NEO,XLM,MIOTA,XMR,DASH,XEM,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0,0.0425707198805864,0.0792209448737436,0,0.0264139210046544,0.179589135507651,0.166931287000763,0.0130771070748169,0.0981605830018907,0,0,0,0,0,0
ETH,0,0,0,0.0672993184612056,0.013918291422329,0,0.130273405472686,0.113954669091238,0,0,0.0682945147039268,0.093063466506667,0,0.0268871203562292,0,0,0,0,0,0
XRP,0,0,0,0,0.0542677748559219,0.0392313990496539,0,0,0.0832039674926227,0,0.0284809383302012,0,0,0.266828883133357,0.00592742938284617,0,0,0,0,0
BCH,0,0,0,0,0.0217419801314323,0,0,0,0,0.14791096938443,0.0967910420885622,0.0781726026260294,0,0,0.0853010223578575,0,0,0,0,0
LTC,0,0,0,0.0978750740348097,0,0.0306691335775851,0,0,0,0,0.16688168991511,0,0,0.138881236955771,0.119681395768444,0,0,0,0,0
ADA,0,0,0.157576212287082,0,0,0,0.167778234179965,0,0.267422630574191,0,0.0371630100792815,0,0.0585480935120505,0.0350741621841595,0,0,0,0,0,0
EOS,0,0,0,0.0647581146883365,0,0.263773541584238,0,0,0,0,0.0466359605792184,0,0,0.20881878724491,0.243509957043632,0,0,0,0,0
NEO,0,0,0,0,0,0,0.0557041625737165,0,0.0694007461141979,0.383061670144858,0,0,0,0,0.0320009606353602,0,0,0,0,0
XLM,0,0,0,0,0,0.369061426786435,0.0178716520849086,0,0,0,0.00956380954373856,0,0,0.151791287755843,0.126784562968582,0,0,0,0,0
MIOTA,0,0,0,0,0.134827012857621,0,0,0.167703872371807,0,0,0.280602654317862,0,0,0.202918545778743,0.0428241278125145,0,0,0,0,0
XMR,0,0,0,0,0.118432128352287,0,0,0.182717099059411,0,0,0,0.522832451177473,0,0.0101755279756098,0,0,0,0,0,0
DASH,0,0,0,0.230852366347997,0,0.00818022606641208,0,0,0.133573745527964,0,0.141324333983003,0,0,0.0559497413529758,0,0,0,0,0,0
XEM,0,0,0,0,0,0,0.136923032106682,0,0.0648731352769472,0,0,0.0423655445100233,0,0.326222015491666,0,0,0,0,0,0
TRX,0,0,0,0.248436328921848,0,0,0.0691683268529005,0.196620135721243,0,0.0594109114532016,0.0979987667828833,0,0.121985370495672,0,0,0,0,0,0,0
ETC,0,0,0,0,0,0,0.277447802247924,0.160971082443889,0,0,0,0,0,0.191123224103397,0,0,0,0,0,0
BV010082.INDEX,0,0,-0.0332171301731637,0.045604610512853,0,0,0,-0.0137836066005197,0,0,0,0,-0.00482296702718006,0,0,0,0,0,0,-0.0406169775831766
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0369863342691663
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00522854344529872
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0544654321759682
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
