,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,MIOTA,TRX,NEO,XMR,DASH,XEM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0529066489230623,0,0,0.091417665464411,0,0,0,0.0108967787845079,0,0.00983114892509104,0.160266785927984,0,0,0,0,0,0
ETH,0,0,0.248790745390737,0.0120703552568929,0,0,0.00000000000000000173472347597681,0,0.196976139056474,0,0.00313097500658335,0,0,0.0150745781036938,0,0,0,0,0,0
XRP,0,0,0,0,0.0437810226062049,0,0.124518242884268,0.0573017750782999,0.0749358331232662,0,0,0,0,0.271338570717114,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0.0388740637240306,0.123308964058523,0.283837059281718,0.0337356148501642,0,0,0,0.020422019584659,0.0915877235884866,0,0,0,0,0
EOS,0,0,0.113315840736007,0,0,0,0,0.160600775638111,0,0.186373637587326,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0.0768697308658018,0.11914456199716,0.032961328375647,0,0,0.076096771028128,0.112113393779174,0.0422116224479449,0,0,0,0.0420848039517181,0,0,0,0,0,0
ADA,0,0,0.243014018132414,0.0436029596194378,0.0470639733103324,0,0,0.22661003965247,0.0227597556255354,0,0,0,0,0.0526552543915142,0,0,0,0,0,0
XLM,0,0,0,0,0.103389827756966,0,0.287361698872235,0,0,0,0,0,0,0.24700567094674,0,0,0,0,0,0
MIOTA,0,0,0.0758047101303114,0.280214500338378,0,0,0.222477387148864,0,0,0,0,0,0.0491831612736604,0.0389926926548014,0,0,0,0,0,0
TRX,0,0,0,0.0331452298486533,0.174487104252319,0,0,0.364959178831744,0,0,0.194498950907386,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0.0583093108172607,0.0704372358906997,0,0.0936688921801053,0.00854764994367143,0.0390881431155773,0,0,0,0,0.310285551226824,0,0,0,0,0,0
XMR,0,0,0,0.00000000000000000173472347597681,0.0151000625696953,0,0.0361079735294275,0.152252989120136,0,0.0359097562659157,0,0,0.129116610088923,0.130941795641561,0.01817639494866,0,0,0,0,0
DASH,0,0,0,0.0768054112922791,0,0,0,0.0812264589416966,0.331162235201508,0.0517433567056536,0,0,0,0,0,0,0,0,0,0
XEM,0,0,0.0958199907326528,0.0221951748503829,0,0,0,0.19635738175939,0.227865649821484,0.0163489440580894,0.0327806223736656,0,0,0,0.078049859115353,0,0,0,0,0
ETC,0,0,0,0.15470089484368,0.0424669469020921,0,0,0.0200726901330363,0.148766799588759,0,0,0,0,0.189319677463502,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0.0324666378704616,0,0,0,0,-0.00732606901142156,0,0,0,0,0,0,0,0,0,-0.0577454544080262
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,-0.000000190324249917168,0,0,0,0,0,0,0,0,0,0,0,0,-0.100857956786959
VIX.INDEX,0,0,0,0,-0.0434119393107337,0,0.00841461756525402,-0.0605492148205458,0.0416577940192931,0,0.0241474303239029,0,0,0,0,0,0,0,-1.82553048941203,0
