,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,MIOTA,TRX,NEO,XMR,DASH,ETC,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.112301457822791,0,0,0,0,0.0493806144075495,0,0,0.0682104542658208,0,0,0.0729847247622112,0,0,0,0,0
ETH,0,0,0,0.0190751396442743,0.11175799872384,0,0,0.0201618030087345,0,0.0778322231242724,0,0,0,0,0.161486684809129,0,0,0,0,0
XRP,0,0,0,0.102032050607107,0.106632791173739,0,0,0,0.104228610039164,0.125449726014299,0,0,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0.361024199062436,0,0,0.0398811855045357,0.181609991503162,0.107831301224807,0,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0.401449878453567,0,0,0,0.0827921188399674,0.133681672233303,0,0.0184478598579693,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0.248309586920046,0.0657835730623306,0,0,0,0.077314244798001,0,0,0,0,0,0.0743703382979406,0,0,0,0,0
XLM,0,0,0,0.127293285217535,0.0673017321673238,0,0,0.116037236316983,0.102626232711776,0,0,0,0,0,0.231463332651536,0,0,0,0,0
ADA,0,0,0,0.204545567744346,0.117790166330934,0,0,0,0.124475498977795,0.0797061040764765,0,0,0,0,0.146082112527406,0,0,0,0,0
MIOTA,0,0,0,0.105014260728568,0.0886731980476125,0,0.0419047853184145,0.185437921299884,0,0,0.345128863739304,0,0,0.0316386970843266,0,0,0,0,0,0
TRX,0,0,0,0.168895243032878,0.228904111625996,0,0,0.131614965211031,0.000943378401293972,0,0.0540841502796827,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0,0.12541924032321,0,0,0.0720511805591514,0.225359273073915,0.0519191395920578,0,0,0,0,0.167762957295842,0,0,0,0,0
XMR,0,0,0,0.418926281294785,0.0079446958777545,0,0,0.0251303168692201,0,0,0.0266432474143172,0,0,0,0.0752090640802338,0,0,0,0,0
DASH,0,0,0,0.117139930846523,0,0,0,0,0.112773022780055,0,0.00000000000000000346944695195361,0.044819797474961,0,0.0659605607719006,0.137305201717687,0,0,0,0,0
ETC,0,0,0,0.345422637393717,0,0,0,0,0.0843266863063471,0,0,0.0699917861844685,0,0,0,0,0,0,0,0
XEM,0,0,0,0.174142777515338,0.149386947846729,0,0,0.0685258524049815,0.0938381400383278,0,0.0259730202138376,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0.0109787733919488,0,0,0,0,0,0,0,0,0,0,0,-0.0630881526413018
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0497080038069165
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
