,BTC,ETH,XRP,BCH,LTC,ADA,NEO,EOS,XLM,MIOTA,XMR,DASH,XEM,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0829867727007162,0.0360579308698206,0,0,0.111154368808762,0,0,0.133711056749525,0.188517912270913,0,0.0601938043940015,0.03039253950856,0,0,0,0,0,0
ETH,0,0,0,0.0742502116466067,0,0,0.141611711806514,0.0692243126357527,0,0,0.131269644908888,0,0.0265433610499019,0.0172498624077809,0,0,0,0,0,0
XRP,0,0,0,0,0,0.115614124206911,0,0,0.0723928416699734,0,0,0,0,0.314657998885938,0.100018780912215,0,0,0,0,0
BCH,0,0,0,0,0.173260881705972,0,0,0.165192754626227,0,0,0.0918366069593202,0,0,0,0.0425410751994242,0,0,0,0,0
LTC,0,0,0,0.136966565948064,0,0.0112978885505108,0,0,0,0,0.176958977208669,0,0,0.102073509946742,0.140254833606195,0,0,0,0,0
ADA,0,0,0.17226489753702,0,0,0,0,0.144702930043256,0.243886541281026,0,0.038402984865554,0,0.0515570873409867,0.0272949016246772,0,0,0,0,0,0
NEO,0,0,0,0.0394957907129284,0,0,0,0.12444741553179,0.0296539286520714,0.248316211542275,0.106762167327633,0,0,0,0.0966810544572224,0,0,0,0,0
EOS,0,0,0,0.0671733261461407,0,0,0,0,0.0621891080751174,0,0.179509639461343,0,0,0.0538850936611673,0.224502535345104,0,0,0,0,0
XLM,0,0,0.256176181064999,0,0,0.0730931285713939,0,0.133123432683535,0,0,0,0,0,0.147894810148384,0,0,0,0,0,0
MIOTA,0,0,0,0.0416726268493433,0,0,0,0.139031132960009,0,0,0.330757198255838,0,0,0.147344031465655,0.0260743745505832,0,0,0,0,0
XMR,0,0,0,0,0.142805119077248,0,0.216611585897557,0,0,0,0,0.394897496884926,0,0,0,0,0,0,0,0
DASH,0,0,0.0812714253900371,0.192612715286642,0,0,0,0,0.114665893314202,0,0.148259815895904,0,0,0.074468641691644,0,0,0,0,0,0
XEM,0,0,0,0,0,0,0,0.138628521364595,0.0629116196321794,0,0,0.0460897632469741,0,0.323354900598514,0,0,0,0,0,0
TRX,0,0,0.389397592320598,0,0,0,0.124745487064971,0.0688893761483277,0,0.202175691451797,0.0304259379419776,0,0.0539699466367075,0,0,0,0,0,0,0
ETC,0,0,0.156957321470538,0.00540309647332248,0,0,0.187298810777983,0.277128779308888,0,0,0,0,0,0.0850040888260278,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0.040629325535842,0,-0.0108956300510582,-0.0221060204277738,0,0,0,0,0,-0.00634808011229109,0.00155952184674752,0,0,0,0,0,-0.0410222942262973
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0166606924771175
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00342990265249816
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0544652920155876
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
