,BTC,ETH,XRP,BCH,ADA,LTC,XEM,XLM,MIOTA,DASH,TRX,NEO,EOS,XMR,BTG,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.0139733596434123,0.0274369881097906,0,0,0.0601222923291533,0,0.0298538609353068,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0,0.141851835078877,0,0,0,0,0.0233059240183609,0.0435248677803389,0.00242076681803304,0,0.0462205693282694,0,0,0,0,0
XRP,0,0,0,0,0.162678351011263,0,0.105385289496584,0.0215738122399745,0,0,0.0456030375303906,0,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0,0.00333227450870244,0,0,0,0.223321415110417,0,0.0506751315155931,0.0830377348438556,0,0.363093821129958,0,0,0,0,0
ADA,0,0,0.166196869503643,0,0,0,0.0588608150335747,0.434150125824961,0.0356820857551335,0,0,0,0,0,0,0,0,0,0,0
LTC,0.179200635821208,0.33054769626296,0,0,0.0167436479362902,0,0.234008819928466,0,0.0472702067578072,0,0,0,0.000000000000000000216840434497101,0.00441991780590609,0,0,0,0,0,0
XEM,0,0,0.141040959691745,0,0.0249226091292644,0.0347166253934042,0,0.247901360355234,0,0,0,0,0,0,0,0,0,0,0,0
XLM,0,0,0.000000000000000000867361737988404,0,0.363424164431166,0,0.0194295843145292,0,0.0763902341731016,0,0,0,0.183957062618274,0.0544023351103351,0,0,0,0,0,0
MIOTA,0,0,0,0,0.0182197398367981,0.186770091084214,0.139114326846777,0.0498987999540005,0,0,0,0,0.0464528477748465,0,0,0,0,0,0,0
DASH,0,0,0,0.109144222878241,0,0.101603706413063,0.00925884360019452,0,0,0,0.0840996337127123,0,0,0.0896365424730114,0.0096607298750176,0,0,0,0,0
TRX,0.459202516633606,0.392532022652798,0,0,0.124878920083692,0.13627516887635,0,0,-0.0357467505283618,0,0,0,0,0,0,0,0,0,0,0
NEO,0,0.204080604320663,0.0737087511283501,0.0348873485883947,0,0,0.0189706414252766,0.240599162011424,0,0,0,0,0,0.0000000000000000138777878078145,0,0,0,0,0,0
EOS,0,0,0.170026187244505,0.0632638038259037,0,0.111687674870781,0,0.0295492843971849,0.0860361739818622,0,0.0786003983029931,0.0865933036545412,0,0.176493173435124,0.0650775564945596,0,0,0,0,0
XMR,0,0,0,0,0,0,0,0.135996064822798,0.0447237668181344,0.175484893247051,0.00016968097374883,0.0891771739337532,0,0,0.0442629171490083,0,0,0,0,0
BTG,0,0,0,0.507914355088848,0.0222660813366538,0,0.00219970322905586,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,-0.00960500323611717,0.0010063370463405,0,0.0105112803923756,0,0,0.00552722159017264,0,0.00646596095755509,-0.00000000000000000010842021724855,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,-0.00296775785207711,-0.000941032702206482,0,0,0,0,0,0,0.00311287287679285,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0.000000203324885950114,0,-0.000000317271060998162,0,0.00000015116058818071,0.000000106125104735189,0.000000372232133255384,0,-0.0000000749333048291729,0,0,0,0,-0.0180367044719941
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
