,BTC,XRP,LTC,ETH,DASH,DOGE,XLM,XMR,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.326885982749964,0,0,0.0510409852842225,0,0.146218758891293,0,0.0212924381546347,0,0,0,0,0
XRP,0.289937313411266,0,0,0,0.0618882393659297,0,0.112439534978177,0.0882091476589412,0.0501664994089718,0,0,0,0,0,0
LTC,0.554614747322155,0,0,0,0.0337732637144319,0.00805238382545672,0,0,0.00251741729573067,0,0,0,0,0,-0.0293497176140649
ETH,0,0,0,0,0,0.111662956258378,0,0.249719160952854,0.000000000000000000216840434497101,0.108677318426902,0,0,0,0,0.0642744433994024
DASH,0,0.118750102755716,0.0913467180652393,0,0,0.295122365815228,0,0,0,0,0,0,0,0,0
DOGE,0.0542689854658027,0,0.497741350844044,0,0,0,0,0,0.0504433528516771,0.0150863657423598,0,0,0,0,0
XLM,0,0.275152594058865,0.0601570056734632,0,0,0,0,0,0,0.0374577910256734,0,0,0,0,0
XMR,0.557538053130839,0,0,0.0353608983446422,0,0,0,0,-0.0829566155240662,-0.0420179408732266,0,0,0,0,0.0301370058187043
XEM,0,0.16311402684424,0.10610175026132,-0.093351343724744,0,0.971103249563311,0,-0.205846452669264,0,0.182365874771874,0,0,0,0,-0.0963102079944464
DGB,0.068571915536666,0,0.208853317456358,0.180127363808598,0,0,0.2364060444484,0,0.0579869646104608,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0.0126119289195251,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0.00000043758572565704,0,0,0,0,0,0,0,0,0,0,-0.0134139282590528
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0718403859005241
VIX.INDEX,0,0.0472487408334567,-0.0475564494536442,-0.00441944740295717,0,0,0,-0.00928299372612297,0,0.00373926250368056,0,0,0,-4.04274793751631,0
