,BTC,ETH,BCH,XRP,LTC,DASH,NEO,XEM,XMR,ETC,MIOTA,ADA,ZEC,XLM,EOS,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.409222626926322,0,0.0642255190197839,0,0,0,0,0,0,0.0117636948836421,0.0395379461786557,0,0,0,0,0
ETH,0,0,0,0,0.0503617135086005,0,0.048135368848939,0.0952131088548535,0.0139594608851393,0.112018478021912,0.0434267420178954,0.0211644238127653,0,0,0.0572888815752958,0,0,0,0,0
BCH,0,0,0,0,0.0312355697012961,0,0.195280813110117,0,0,0.236962101732684,0,0,0,-0.00000000000000000010842021724855,0,0,0,0,0,0
XRP,0,0.152114571200172,0,0,0.0501413474150583,0,0.0638841044972567,0.0394617860197761,0.0234136737352471,0,0.0364962479903687,0,0,0.0396550010987862,0,0,0,0,0,0
LTC,0.019395210888916,0,0,0.0833839062803133,0,0,0.121651882917231,0.11634312185291,0,0.124519768493657,0,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0,0.0478407114089477,0,0.0691325451770935,0.0791845091550464,0,0,0.12448236199189,0,0.0219688681422553,0,0,0,0,0,0,0
NEO,0,0,0,0,0,0,0,0.128744766212036,0,0,0,0,0.249547113912737,0.160199439764456,0,0,0,0,0,0
XEM,0,0,0,0,0,0,0.189003130709695,0,0.193641549407993,0,0.121998564847899,0,0,0.0174594014399026,0,0,0,0,0,0
XMR,0,0,0,0,0.0873281200845629,0,0.0675999782466711,0.060180522930145,0,0.0199297791086582,0.0358285169312569,0,0.0497080133569628,0.0125412380094582,0.0092666627943119,0,0,0,0,0
ETC,0,0.020906662787661,0.109365372888957,0,0.202435157362692,0,0.0451042242422205,0,0,0,0.0489116846790948,0,0.0106181246211443,0,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0.166879770697454,0.182514874702793,0,0.140700800892942,0,0,0,0.0520255513985357,0.0318868504457187,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZEC,0,0,0,0,0,0,0.141529611139985,0.289617404903207,0.00847375560458378,0.0787654930184238,0,0,0,0,0.0127284083289711,0,0,0,0,0
XLM,0,0,0,0,0,0,0.231356524959904,0.143560437860484,0,0,0.330043358813124,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0,0.104450521444045,0,0.0363572365466363,0.000000000000000000433680868994202,0,0.016365524306645,0.104081809689151,0,0.442657883455042,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0.00000000000000000173472347597681,0,0,0,0,0,-0.0170375591071129,0,-0.0019680834584233,0,0,0.0207413189023623,0,0,0,0,-0.032145708469913
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,-0.000857964923752869,0,0,-0.000208861033170359,0,0,0,0,0,0,-0.0330022377512903
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
