,BTC,ETH,XRP,LTC,BCH,EOS,BNB,BSV,XLM,ADA,TRX,XMR,DASH,MIOTA,ATOM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.0432550719985995,0.104926537823651,0,0,0,0,-0.00000000000000000346944695195361,0.292058427160947,0,0,0,0,0,0,0,0
ETH,0,0,0.0387724407981408,0.0206548069006671,0,0.162527316415207,0,0,0.0990435268296283,0.255661209369182,0,0.074243411402671,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0,0.182203924803469,0,0,0,0.149996792921499,0,0,0,0.0556349342972336,0,0,0,0,0,0
LTC,0,0,0,0,0.128912540653479,0.224641454303469,0,0,0,0.161753853999873,0,0.208414868364568,0,0,0,0,0,0,0,0
BCH,0.0431318673740331,0,0,0,0,0.2715704276828,0,0.019901286071096,0,0.0969198395439424,0,0.013280874352173,0,0,0,0,0,0,0,0
EOS,0,0.219044338778145,0,0.156047235515059,0.284013157463193,0,0,0.00713186068798707,0,0.0211382923639206,0,0,0,0,0.0147794991809096,0,0,0,0,0
BNB,0,0,-0.0813628013513942,0.17906611317641,0.0302164416665346,0,0,0.0306847009496441,0,0,0,0.189103289350246,0,0,0.123450562362399,0,0,0,0,-0.0477978788609544
BSV,0,0,0,0,0,0.20884121204179,0,0,0,0,0.145342488716424,0,0,0.33929712041478,0,0,0,0,0,0
XLM,0,0.13292155994824,0.0658039301335507,0.0529840724321535,0,0.0293785603661909,0,0,0,0.263092036423035,0,0,0,0.0154475336054881,0,0,0,0,0,0
ADA,0,0,0.115671885816883,0.0828685151956501,0,0.141059209696892,0,0,0,0,0.283973865779978,0,0,0.0658401079150363,0,0,0,0,0,0
TRX,0,0,0.13928026349373,0,0,0.184681162395172,0,0.0224191229008959,0,0.316121145815289,0,0,0,0,0,0,0,0,0,0.0766509474365365
XMR,0,0.152476301225696,0,0.0989260002201019,0,0.00000000000000000346944695195361,0,0,0.103562602241663,0,0.0262565871383907,0,0.160640757002518,0.0186473256862612,0.0185355702646597,0,0,0,0,0
DASH,0,0,0,0,0,0.132646208487424,0,0,0,0.227552669612978,0,0.0163115542570511,0,0.0179399225707989,0.0130821211113314,0,0,0,0,0
MIOTA,0,0,0.315301960616847,0,0,0.166111582499168,0,0.137474214456467,0,0.15139768043024,0,0,0,0,0,0,0,0,0,0
ATOM,0,0,0,0.0784018905017176,0,0.109683552169994,0.323576529475114,0,0,0,0.12688760821549,0,0.0468621584042515,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0619380127224707
CVIX.INDEX,0,0,0,0,0,0,0,-0.0353508368208337,0,0,0,0,0,0,0,0,0,0,0,0.0619796359217796
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0618127399251202
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
