,BTC,XRP,ETH,BCH,EOS,LTC,XLM,TRX,BSV,ADA,BNB,MIOTA,XMR,DASH,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0675498805021835,0.0430110488577931,0,0,0,0,0,0.0154081442539728,0,0.216166173278886,0.103199174553619,0,0,0,0,0,0
XRP,0,0,0,0.0244444672284029,0.0541766629611292,0,0,0,0,0.112681133467249,0,0.0330024143258261,0.203592853312048,0.00626194988115976,0,0,0,0,0,0
ETH,0,0,0,0.0815149265553696,0.166230644661821,0,0,0,0,0.116702753247403,0,-0.000000000000000000216840434497101,0.160901429525842,0.0589852574220103,0,0,0,0,0,0
BCH,0,0,0,0,0.342430438601271,0.101212853087827,0,0.0804960361343757,0.052664348389644,0,0,0,0.133190887027393,0,0,0,0,0,0,0
EOS,0,0,0.0431825456336427,0,0,0,0,0,0,0.567201211018819,0,0,0,0.0886349734110101,0,0,0,0,0,0
LTC,0,0,0.173600276210213,0,0.178001556850994,0,0,0,0,0,0,0.0395319514220202,0.231737734943951,0.04227471286566,0,0,0,0,0,0
XLM,0,0,0,0.0821696669945085,0.155210991145566,0,0,0,0,0.0705473314256885,0,0,0.178989279181934,0.0743514017011856,0,0,0,0,0,0
TRX,0,0,0,0.0996666445134472,0,0,0,0,-0.0210678157978072,0.50491305228292,0,0,0,0,0,0,0,0,0,0
BSV,0,0,0,0.520288893635518,0,0,0,0,0,0,0,0,0,0.0652016596451273,0,0,0,0,0,0
ADA,0,0,0.261162915248854,0.0306786313935418,0.27904377275586,0.00263566231197343,0,0.0951942072759323,0,0,0,0,0.131258825569232,0,0,0,0,0,0,0
BNB,0,0,0,0,0.185009759640305,0,0.225536844452059,0.162879425369597,0,0.0457381330796748,0,0,0,0,0,0,0,0,0,0
MIOTA,0,0,0.175027187204853,0,0.235756116500056,0,0,0,0.0331112873660745,0,0,0,0.0473037090017911,0.191077541685535,0,0,0,0,0,0
XMR,0,0,0.0144243397830971,0.0774908072595196,0.0984424812976369,0,0,0,0,0.0684158097471177,0,0.0555041705121097,0,0.327912600486501,0,0,0,0,0,0
DASH,0,0,0,0.118902081111853,0.195975457429267,0,0,0,0,0.0318648596255548,0,0,0.188400560106334,0,0,0,0,0,0,0
XEM,0,0,0,0.11854192438609,0,0,0,0.0402749239357013,0,0.0936421990454023,0.0704920050743841,0,0.14657700777432,0.0804469341366457,0,0,0,0,0,0
BV010082.INDEX,0,0,0,-0.00304192689141908,0,0,0,0,0.000716168197570709,0,0,0,0,0,0,0,0,0,0,-0.0833265829735879
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00332773312544194
SPX.INDEX,0,0,0,0,0,0,0,0,-0.0000000795565994431486,0,0,0,0,0,0,0,0,0,0,-0.141597547960135
VIX.INDEX,0,0,0,0.00000383045238335384,0,-0.00000790652361884699,0,0.00000298307188560355,0,0,0,0,0,0,0,-0.211866805534993,0,0,-2.4194381208,0
