,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,TRX,MIOTA,NEO,XMR,DASH,XEM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0552830230117977,0,0,0,0.0926088363323159,0,0,0.00922781504170645,0,0,0.170709587527201,0,0,0,0,0,0
ETH,0,0,0.232876315035279,0.0880660433182025,-0.00000000000000000010842021724855,0,0,0.0481702204784251,0,0.0993027658615583,0,0,0,0.0843812634668608,0,0,0,0,0,0
XRP,0,0,0,-0.00000000000000000010842021724855,0.0540140041771238,0,0.0685666146702321,0.04854162948786,0,0.100949228704068,0,0,0,0.269410617339221,0,0,0,0,0,0
BCH,0,0,0,0,0.0229358804420071,0,0.0222727765556794,0.05972544375619,0,0.289210515778651,0,0,0.160181397970909,0,0,0,0,0,0,0
EOS,0,0,0.284301020594035,0,0,0,0,0,0.277530173671939,0,0,0,0,0,0,0,0,0,0,-0.0236337210195576
LTC,0,0,0.124572839717129,0.194583457088851,0.018705789348117,0,0.00476483750570479,0,0.0158055376096649,0.0195775834293351,0,0,0,0.156925602641564,0,0,0,0,0,0
XLM,0,0,0.0511517114112533,0,0.100920087374137,0,0,0.216293256560167,0,0,0,0,0,0.308122722119916,0,0,0,0,0,0
ADA,0,0,0.063805874038654,0.0541624600678919,0.0761233120103082,0,0.28646510267744,0,0,0,0.0403266168922468,0,0,0.0581868646103935,0,0,0,0,0,0
TRX,0,0,0,0.0372701330927607,0.186009295130119,0,0.319734765993466,0,0,0,0,0.122207927214901,0,0.152492885603992,0,0,0,0,0,0
MIOTA,0,0,0,0.293112575210309,0,0,0,0.220475355551313,0,0,0,0,0,0.122355570672248,0,0,0,0,0,0
NEO,0,0,0,0.0529642392500244,0.067923632017518,0,0,0.0912134494093943,0,0.0411524279548802,0,0,0,0.330944539205984,0.0213603902133338,0,0,0,0,0
XMR,0,0,0,0,0.0143404742134185,0,0.105622267228169,0.037152402450961,0.0354224374957581,0,0,0,0.180246985680266,0.147720940088234,0.0164464895413496,0,0,0,0,0
DASH,0,0,0,0.121479826556166,0,0,0.0533502779652932,0,0.05756795083589,0.0934017169793826,0,0.0734861173268202,0,0.238508579142924,0,0,0,0,0,0
XEM,0,0,0,0.00564145400404535,-0.000000000000000000216840434497101,0,0.191144109264319,0.0973909463505007,0.0172618457864842,0.246988323292881,0.0158491549053694,0,0,0,0.0643198075638957,0,0,0,0,0
ETC,0,0,0,0.175364249644038,0,0,0,0,0.0442053860708711,0.100695290587291,0,0,0,0.140031086151078,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0.0150529180941186,0,0,0,0,0,0,0,0,0.00205861964234642,0,0,0,0,0,0,-0.0780594767395069
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0.0054679098317107,0,0.00845229866248058,0,0,0,0.0000000000000000000000132348898008484,0,-0.00716725332396958,0,0,0,0,0,0.0496127129140475,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,-0.00000153429275729201,0,0,0,-0.00000106749773940456,0,0,0,0,0,0,0,-0.110468139891162
VIX.INDEX,0,0,0,0,-0.00863996731859184,0,-0.00673268173018318,0,0,0.00667810819966714,0.000141190955263142,0,0,0,0,0,0,0,-1.62862363921162,0
