,BTC,XRP,ETH,BCH,ADA,LTC,MIOTA,XEM,XLM,DASH,XMR,NEO,EOS,BTG,TRX,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.0955744754679916,0,-0.0526956365731666,0,0.015295353705704,0,0,0.156653351516066,0,0,0,0.0861233895924901,0,0.0873605409284601,0,0,0,0,0
XRP,0,0,0,0,0.0636353106220899,0.0165206730440792,0,0.106892028200693,0.09598325574788,0,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0.036372397104292,0,0.221268200929606,0,0.00796737536766383,0,0,0,0.0762602476211526,0.0730211788233898,0,0.0740403478153504,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0.0790515424962844,0,0.199552357600357,0,0.0749510929950458,0.118162227512776,0.215598073996442,0,0,0,0,0,0
ADA,0,0.201112331345016,0,0,0,0,0.0823053615973715,0.0439666700723473,0.477006616675205,0,0,0,0,0,0,0,0,0,0,0
LTC,0.137491909019901,0,0.283438239575264,0,0.0146127757105895,0,0.0463020942109514,0.229808920372708,0,0,0,0,0,0,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0.00105866510526337,0,0.177982959781646,0.336812669976882,0,0.0405338377303129,0,0,0,0,0,0,0,0,0
XEM,0,0.11380337020341,0,0,0.090575987848803,0.0395716413902903,0.0453145339370961,0,0.163294878654449,0,0,0,0,0,0,0,0,0,0,0
XLM,0,0.0133743518304145,0,0,0.278859879897413,0,0.109906825299109,0,0,0,0.150688125559817,0,0.071762780841367,0,0,0,0,0,0,0
DASH,0,0,0,0.0644620308568038,0.0144816717488583,0.0379137210944395,0,0.0236320491741199,0,0,0.0579395983392788,0.0000000000000000000542101086242752,0,0,0.017636303704794,0,0,0,0,0
XMR,0,0,0,0.0294013474526287,0,0,0.111685465923739,0,0.138537458792632,0.176309599738454,0,0.0995885191077211,0,0.0307433846138192,0.0131508210807778,0,0,0,0,0
NEO,0,0.139361266126629,0.0194950961330252,0.0181083672253057,0,0.00743799432478041,0,0.0139291459664107,0.100656361671395,0,0.017188590502923,0,0.0477394364352816,0,0.0712117402596545,0,0,0,0,0
EOS,0.162482104131296,0,0,0.148972384440638,0,0.218905845847849,0.189010104958933,0,0.0654444499502732,0,0,0.152910895155017,0,0.0132626520715088,0.0653151179774824,0,0,0,0,0
BTG,0,0,0,0.540345035599718,0.017834978859574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRX,0.458232324351622,0,0.186394246019873,0,0.129913357625582,0.225508199995876,-0.0321635407639107,-0.00436999743452037,0,0,0,0,0.0399306677559512,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,-0.00904903619250165,0,0,0,0.00650553025518992,0,0,0,0.00635775107336648,0,0.00647445754855134,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,-0.00294024761621933,0,-0.000703496582466069,0,0,0,0,0,0,0,0,0,-0.000307491646242972,0.00267904212360491,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,-0.000000115558757770291,0,0,0,0,0.00000015910721962446,0.000000167637443968174,0,0.000000202322190029089,0,0,0,0,-0.0159764235082906
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
