,BTC,ETH,XRP,BCH,ADA,XLM,LTC,EOS,NEO,XEM,MIOTA,DASH,XMR,TRX,BTG,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0.0415419868223504,0,0.0814886710283392,0,0,0.0520132409128146,0,0,0.0407996317421505,0.0440748202220489,0,0,0,0,0
ETH,0,0,0,0,0,0,0.204189443696096,0.0335915063932814,0.0933788584513463,0,0,0,0,0.0304945928428205,0.0571061812962729,0,0,0,0,0
XRP,0,0,0,0,0.104922730714108,0.077562660117282,0,0,0,0.118927573541406,0,0,0,0.0781735321020129,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0.068386038966353,0.132577161416985,0.0677085299703981,0.0358594420915024,0.000000000000000000867361737988404,0.17853717967824,0,0,0.18048506939631,0,0,0,0,0
ADA,0,0,0.145676146270581,0,0,0.456452692487937,0,0,0,0.0334923387707808,0,0,0,0,0,0,0,0,0,0
XLM,0,0,0.105538359898422,0,0.304868930446474,0,0,0.0325822011819046,0,0,0.197831222601903,0,0.104979261784618,0,0,0,0,0,0,0
LTC,0.13365088219925,0,0,0,0.0000000000000000000016940658945086,0,0,0,0,0.202114223385975,0.0533586547656316,0.058039815484411,0,0,0.136550789829667,0,0,0,0,0
EOS,0,0,0,-0.0000000000000000000542101086242752,0.0133002701042052,0.161281319986657,0.114316270035911,0,0,0.0320535536933248,0,0,0.189880496150768,0.0235500772842138,0.371554601299882,0,0,0,0,0
NEO,0,0.204229869364571,0,0.15965203538371,0,0.218572436043091,0,0,0,0.0110835884606859,0,0,0,0,0,0,0,0,0,0
XEM,0,0,0.128213689576679,0,0.0172066364152224,0.243007614101793,0.019521580174862,0,0,0,0.0447005249612861,0,0,0,0.137573457613903,0,0,0,0,0
MIOTA,0,0,0,0.0387477999676015,0,0.0461323646793583,0.165117831118984,0.104578916329236,0,0.145418845587075,0,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0.182862450286821,0,0,0.0808042233439023,0,0,0.00448391024245296,0,0,0.0158148898114955,0.088638959750054,0.10139336687932,0,0,0,0,0
XMR,0,0,0,0,0.0146992510160967,0.147488185438046,0,0.0603016615889235,0.0244786587740153,0,0.0743174122376074,0.161095148479643,0,0.00284496404172189,0.0548813511191693,0,0,0,0,0
TRX,0,0,0,0.162762453250805,0.130070713379771,0,0.0580989813944391,0,0,0,0,0,0,0,0,0,0,0,0,0
BTG,0,0,0,0.468642131192111,0,0,0,0,0,0.00428115254039887,0,0,0.113306422938914,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0.00557948591073828,0,0,0,0,0,0.00285551348475506,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,-0.00399080006607543,-0.000533754193949721,0,-0.00054019446965363,0,0,0,0,0,0,0,0.00388762556413151,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
