,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,MIOTA,TRX,NEO,XMR,DASH,ETC,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.137908274783515,0.0000000000000000000271050543121376,0,0,0.0449493077156543,0.0555735906949002,0,0,0.0548774002833171,0,0,0,0,0,0,0,0
ETH,0,0,0,0.321078896709001,0.00342983296755165,0,0,0,0.0910121436851444,0.153900450026433,0.00176981663528628,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0.136784801662976,0.150610896246959,0,0,0,0.200281020409665,0.0085815083384665,0,0,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0.389200718540484,0,0,0.15861227564237,0,0,0,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0.398286178788403,0,0,0,0.0684269766746185,0.16178208230232,0.00750621611242906,0,0,0,0,0,0,0,0,0,0
XLM,0,0,0,0,0,0,0,0.471499039951561,0.119380087701966,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0.320280804171377,0.0561365862390039,0,0,0,0.155048706242676,0,0,0,0,0,0,0,0,0,0,0
ADA,0,0,0,0.14694539971412,0.107031858704107,0.0335194825035674,0,0,0.101058704453317,0.0936025910042995,0,0,0,0,0.337862160215786,0,0,0,0,0
MIOTA,0,0,0,0.347681742014008,0.00146210204490063,0.0119822605840948,0,0,0,0,0.53357465221025,0,0,0,0,0,0,0,0,0
TRX,0,0,0,0.173722765351373,0.180070224611905,0.0796590706862041,0,0.0483518488329388,0.0581474601671283,0,0.0120800204068653,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0.197781005329241,0.0966395782902921,0,0,-0.000000000000000000867361737988404,0.343678324740223,0,0,0,0,0,0.0221558866155645,0,0,0,0,0
XMR,0,0,0,0.37776802222365,0,0,0,0,0,0,0.301521581095414,0,0,0,0.0162615764756228,0,0,0,0,0
DASH,0,0,0,0.1027873173587,0,0.195755240193501,0,0,0,0,0,0,0,0.0234250075438833,0.0680194969537641,0,0,0,0,0
ETC,0,0,0,0.381923698871875,0,0,0,0,0.0882472687265852,0,0,0,0,0,0,0,0,0,0,0
XEM,0,0,0,0.113659002691009,0.147805046367842,0.0121822585675418,0,0.145489667263618,0.0408636238387211,0,0.0387005747137096,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0.00390188947785545,0,0,0.0116195043602065,0,0,0,0,0,0,0,0,0,0,-0.0555144222019783
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0497080123214456
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
