,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,ADA,XTZ,ETC,XMR,XLM,TRX,DASH,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.133707892224525,0.0143485363630655,0.0750536388809488,0.0354701818835392,0,0.0161331923744117,0,0,0,0,0.0641007330538034,0.0170839953909348,0,0,0,0,0
ETH,0,0,0,0.155412745358985,0.0229740032206297,0.0609418898728236,-0.00000000000000000693889390390723,0,0.12261088397485,0,0,0,0,0,0.0347377723452005,0,0,0,0,0
XRP,0,0,0,0.0703914067816487,0.0286577480967739,0.155644814358594,0,0,0.065332967046252,0,0,0,0,0.153150046341662,0.000782886035190854,0,0,0,0,0
BCH,0,0,0,0,0.249783680527589,0.101883490962588,0,0,0,0,0.103943966938158,0,0,0,0.0518768518200099,0,0,0,0,0
BSV,0,0,0,0.47162536363648,0,0,0.215708952102673,0,0,0,0.0522127318136571,0,0,0,0.0546694029346257,0,0,0,0,0
LTC,0,0,0,0.252425835810838,0.0317102009198228,0,0.258201551703871,0,0.0313921206360865,0,0,0,0,0,0.0324891930024896,0,0,0,0,0
EOS,0,0,0,0.156872181213535,0.114110118703128,0,0,0,0.0541507705061527,0,0,0,0,0,0.0406225660126127,0,0,0,0,0
BNB,0,0,0,0.150127387162532,0.00204660685887223,0,0.103805082577825,0,-0.00000000000000000173472347597681,0,0,0,0,0.0273954566265911,0.0863425488836849,0,0,0,0,0
ADA,0,0,0,0.0220975297130383,0.0204496093586153,0,0.179305646920321,0,0,0,0.102003151084606,0,0,0.241656401564265,0.00882044419467419,0,0,0,0,0
XTZ,0,0,0.214424984713252,0,-0.00135541800929952,0,0.0451619019980383,0,0,0,0,0.109585283953191,0,0,0,0,0,0,0,0
ETC,0,0,0,0.228881410093596,0.0463442064772438,0,0,0,0,0,0,0,0,0,0.364140106536344,0,0,0,0,0
XMR,0,0,0,0.0735812421391533,-0.0163812299985449,0,0,0,0.17069165840268,0,0.0466095285230892,0,0,0,0.169743438891872,0,0,0,0,0
XLM,0,0.0719485070194812,0,0.0656909849437341,0,0,0,0,0.197447366471579,0,0,0,0,0,0.126716492770722,0,0,0,0,-0.0151767011203491
TRX,0,0,0,0.194876220671848,0.0112192987697451,0,0,0,0.111364166791363,0,0,0,0,0,0.0523239116704664,0,0,0,0,0
DASH,0,0,0,0.520957096348175,0.0927880713203876,0,0,0.217331520160906,0,0,0,0.0380326050677614,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,-0.0115750161293742,0,0,0,0,0,0,0,0,-0.0037011394311247,0,0,0,0,-0.0756907504656048
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0.00000303661112153716,0,0,0,0,0,0,0,0,0,-0.00000149185438845547,0,0,0,0,-0.058869980630189
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
