,BTC,ETH,XRP,BCH,LTC,DASH,XEM,NEO,MIOTA,XMR,ETC,ZEC,ADA,BAT,EOS,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.0298150532195112,0,0.0948165919176436,0.0521500871894112,0.101613722330656,0,0.0545579079673963,0,0,0.0423342572291543,0,0,0,0,0,0
ETH,0,0,0,0,0.110693504689473,0,0.0100273547334655,0.00528032590816664,0.109088510368042,0,0,0.0119798927581242,0,0.0352813379012799,0,0,0,0,0,0
XRP,0,0.0435118990226468,0,0,0.273738324189499,0,0,0.0097327190428291,0,0.19694679361209,0,0,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0.526479822121848,0,0,0,0.13335724855481,0,0,0,0,0,0,0,0,0
LTC,0,0.0627703701538541,0,0.0263244817622394,0,0,0,0.00371211233917179,0.0530321256319622,0.0275328398433098,0.659955685916443,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0.0174135133710096,0,0,0.028852785247667,0,0.0844679028079744,0,0,0.209779022147633,0,0.0759876451341055,0,0,0,0,0,0
XEM,0,0.074626856724213,0,0.0505898533857181,0.169681331936349,0,0,0.0591416924237231,0.112093062109692,0,0,0,0,0.0663261441270922,0,0,0,0,0,0
NEO,0.574057546019228,0,0,0.0314504380915112,0,0,0.192185540719995,0,0,0,0,0,0,0.201981847337298,0,0,0,0,0,0
MIOTA,0.237542978784303,0.131373891437586,0,0,0,0.217207005667958,0,0.0372964240366307,0,0,0,0,0,0.0888094360578902,0.187108416814204,0,0,0,0,0
XMR,0,0,0.270004425803722,0,0,0,0.026239206097667,0,0.0104246934000047,0,0,0.272385214163239,0,0,0,0,0,0,0,0
ETC,0,0,0,0,0.343957577503482,0,0,0,0,0,0,0.0623903174794335,0,0.00673156161049082,0.0138969805388015,0,0,0,0,0
ZEC,0,0,0,0,0,0.158914614883753,0,0,0,0.123058105227792,0.196275418863425,0,0,0,0.153246136889651,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAT,0,0,0,0,0.111756608530032,0,0,0.16899520328078,0,0,0.164208005426366,0,0,0,0.206597693118138,0,0,0,0,0
EOS,0,0,0,0,0.159573228130425,0,0.0229515582742164,0.0887946211492247,0,0,0,0.0946389085109447,0,0.0147116220144549,0,0,0,0,0,0
BV010082.INDEX,0,0,0,-0.014479357811469,0,0,0,0,0,0,0,0,0,0,0.00247300026274368,0,0,0,0,-0.0236820076160019
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,-0.000000192819406878203,0,0,0,-0.000000611134597794021,0,0,0,0,0,0,0,0,0,-0.039702470156968
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
