,BTC,ETH,BCH,XRP,LTC,DASH,XEM,MIOTA,XMR,ETC,NEO,ZEC,EOS,BAT,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.0777231903601222,0,0.0878070690052543,0.0985526883142352,0,0,0.0203839183615023,0,0,0.0963200298653561,0,0,0,0,0,0
ETH,0,0,0,0,0.0699201197100847,0,0.031023540445138,0.10694238753471,0,-0.000000000000000000216840434497101,0,0,0,0.0314740151092459,0.0271315576606696,0,0,0,0,0
BCH,0,0,0,0,0,0,0.481365009293423,0,0,0,0,0,0,0,0.127639977576524,0,0,0,0,0
XRP,0,0.303337856129757,0,0,0,0,0,0,0,0,-0.0000000000000000000542101086242752,0,0,0,0.223116754958031,0,0,0,0,0
LTC,0,0,0,0,0,0,0,0,0,0.622394596721001,0,0,0,0.0149419899026246,0.0498648469687779,0,0,0,0,0
DASH,0,0,0,0,0,0,0,0.0471418161770035,0,0,0,0.131281622090211,0,0.0697345259420105,0,0,0,0,0,0
XEM,0,0,0.110317455261677,0,0,0,0,0.112952464528524,0,0,0.0323767556551236,0,0,0.155928499599819,0.143396964299672,0,0,0,0,0
MIOTA,0,0.540115026890531,0,0,0,0.17370676261211,0.0278566166014072,0,0,0,0.0570684199816989,0.0219907759114999,0,0.0549989399773814,0,0,0,0,0,0
XMR,0,0,0,0,0,0,0,0,0,0,0,0.071976304721055,0,0,0.261910445602258,0,0,0,0,0
ETC,0,0,0,0,0.35074043199272,0,0,0,0,0,0,0.00691949092597491,0.042804301305928,0.0440569437301262,0.0821677666569914,0,0,0,0,0
NEO,0,0,0,0,0,0,0.448859093175555,0,0,0,0,0,0.35289986170844,0.17833997576888,-0.120361693420033,0,0,0,0,-0.0725394847815186
ZEC,0,0.30305837652298,0,0,0,0.051199945099379,0,0.0471828804048251,0.103078195796162,0,0,0,0.0293714637328288,0.0142028177783448,0.0608151682238875,0,0,0,0,0
EOS,0,0,0,0,0.0308344230025698,0,0.0785473721313771,0,0,0,0.0401078377127533,0,0,0.0576263574942559,0.150583126848834,0,0,0,0,0
BAT,0,0,0,0,0.0750530602345362,0,0,0.0221736164267801,0,0.223205613682328,0.304908784251297,0,0.044862877157643,0,0.0518850476163755,0,0,0,0,0
XLM,0,0,0,0.147390202171988,0,0,0.0541417780271247,0,0.263737699343429,0.254552449543268,0,0,0,0.0884073771763346,0,0,0,0,0,0
BV010082.INDEX,0,0,-0.0108652038251009,0,0,0,0,0,0,0,0.0159368583603007,0,0,0,-0.0101543123559864,0,0,0,0,-0.031033126444886
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0132512495518367
DXY.INDEX,0,0,0,0,0,-0.0023220806145474,0,0,0,0,0,0,0,-0.0043779751234763,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,-0.000000253784293137473,0,0.0000000618845602886474,0,0,0,0,0,0,0,0,-0.0397021952974136
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
