,BTC,XRP,ETH,LTC,DOGE,DASH,XLM,XEM,XMR,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.393937952877104,0,0.000554834838638405,0,0,0.0782777781117068,0.0055564023766758,0,0,0,0,0
XRP,0,0,0,0,0.0280005687615653,0,0.192377766894442,0.0276860898658311,0,0.0082485590116989,0,0,0,0,0
ETH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0.50050086944825,0,0,0,0.0143422107491382,0,0,0.00368312360863148,0,0,0,0,0,0,-0.00608223611642241
DOGE,0,0,0,0.724609860020476,0,0,0.103303011524403,0.00560931798601471,0,0,0,0,0,0,0
DASH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XLM,0,0,0,0,0.192750569786482,0,0,0.0284262513510165,0,0.0576206831568431,0,0,0,0,0
XEM,0,0.12024409193614,0,0.54209913232752,0.0556295864339361,0.109991035438798,0.229703270152792,0,0,0,0,0,0,0,0
XMR,0.710230157912961,0,0.0705012791346631,0,0.0373827298824307,-0.0555378318437469,0,-0.00967641161117413,0,0.0214737190275264,0,0,0,0,0
DGB,0.502747831343625,0,0,0,0,0,0.153489428818022,0,0,0,0,0,0,0,0.107931182045039
BV010082.INDEX,0,0,0,0,0.0108421355782414,0,0,0.00643816145133059,0,0,0,0,0,0,-0.0429456767416807
CVIX.INDEX,0,0,0,0,0,0,0,-0.000000172011803645824,0,0.00000000572619613836076,0,0,0,0,0.0469887812285904
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00967374888453572
SPX.INDEX,0,0,0,0,0,0,0,0,0,-0.000000162874395333486,0,0,0,0,-0.0992698984682864
VIX.INDEX,0,0,-0.0000239734275105372,0,0.0000457672438857496,0,0,0,0,0,0,0,0,-2.45036563638706,0
