,BTC,ETH,XRP,BCH,LTC,BSV,EOS,INNBCL,BNB,XTZ,LEO,LINK,XLM,ADA,TRX,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.108054388440287,0.0516937453561889,0.0197665969707691,0.0649062891524116,-0.000403745079901116,0,0,0,0,0,0.119905219669304,0,0,0,0,0,0
ETH,0,0,0,0.245668202262361,0,0,0,0,0,0,0,0,0,0,0.19350509917356,0,0,0,0,0
XRP,0,0.0179187621403473,0,0.181362094571532,0.0296571911682294,0,0.0419798367449182,0.00357933697459121,0,0,0,0,0,0.0323377095619276,0.211152641556074,0,0,0,0,0
BCH,0,0,0,0,0,0.256094284655892,0.0245688028632555,0.00146509982025784,0,0,0,0,0,0.0928082700940984,0.230172088517451,0,0,0,0,0
LTC,0,0,0,0.343958081789139,0,0.0206820682964663,0,-0.000858846979319357,0,0,0,0.12066378874145,0,0.15190256202631,0.0174319689488793,0,0,0,0,0
BSV,0,0,0,0.545029741134978,0,0,0.094774896164203,-0.0104167385454026,0,0,0,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0.176218554601823,0.0237522646722436,0.119256671437296,0,0,0,0,0,0,0,0.0682536580961818,0,0,0,0,0,0
INNBCL,0,2.24480317444543,0,0,-2.37455162136429,0,0,0,0,-6.49863047282749,6.6751542355187,0,9.77575479398629,0,0,0,-0.531001539657728,0,0,0
BNB,0,0,0,0.160447054741271,0,0.0104004403194993,0.0397076426804705,-0.000793654900128644,0,0.0714229030386328,0,0,0,0,0.202281636786442,0,0,0,0,0
XTZ,0,0.0496683746562465,0,0,0,0,0,-0.0111485973283272,0,0,0,0.265947373566277,0,0.146873151760043,0,0,0,0,0,0
LEO,0,0,0,0,-0.172125082296276,0.0563562446198419,0,0.00343259690352554,0,0,0,0.0703956006733258,0,0,0,0,0,0,0,0
LINK,0,0,0,0.13051211654282,0,0,0,-0.00222650767712266,0,0.144564971219914,0,0,0,0,0,0,0,0,0,0
XLM,0,0.142436363478327,0,0.132105287178762,0,0,0,0.00589899272360208,0,0.023025537374363,0,0,0,0,0.115459363298363,0,0,0,0,0
ADA,0,0,0,0.189087131012851,0,0,0.171153253167516,-0.00468484922131488,0,0.0697108935421091,0,0,0,0,0.0800820317031473,0,0,0,0,0
TRX,0,0.177733692548059,0,0.194617287440946,0,0,0,-0.00164185213260232,0,0,0,0,0,0.0828439510240849,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0.0000000000000000067762635780344,0,0,0,0,0,0,0,0,0,0,0,-0.110996996931997
CVIX.INDEX,0,0,0,0,0,0,0,-0.000610961580386141,0,0,0,0,0,0,0,0,0,0,0,0.100254843539928
DXY.INDEX,0,0,0,0,0,-0.000284062199711962,0,0.00000815549728981242,0,0,0,0,0,0,0,0.010798615235266,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0.00000019925746033815,0,0,0,0,0,0,0,0,0,0,0,-0.070534953794118
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
