,BTC,ETH,BCH,LTC,XRP,MIOTA,DASH,XEM,XMR,BTG,ADA,ETC,EOS,XLM,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.147732249510792,0.0563676556939165,0,0,-0.0983540410057583,-0.0389643592287231,0,0.0306683864826402,0.0179239889263491,0,0.156295742710385,0,0.00170789726666107,0,0,0,0,0
ETH,0,0,0.0201168754821187,0.125098590863967,0,0,0.0408445877785544,0,0,0,0.0820316323932587,0.074301778663629,0,0,0.0355424444524518,0,0,0,0,0
BCH,0,0,0,0,0,0,0.174609989810412,0.0654329823050249,0,0.100230084422829,-0.0277521680839701,0,0.0728728107299782,-0.0285015771838457,0.280439732710099,0,0,0,0,0
LTC,0.104504107915765,0,0,0,0.189866369747484,0,0,0.212170199169128,0,0,0.0187646721082959,0.0690600752944675,0.01470318744954,0,0,0,0,0,0,0
XRP,0,0,0,0.0402421941942493,0,0,0,0.105411324375317,0,-0.0124574379037296,0.0889397435788666,0.0408188133813374,0,0,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0.167968781093539,0,0,0.179494145823221,0,0,0.0972079192236621,0,0,0,0,0,0
DASH,0,0.00000000000000000010842021724855,0,0.0718116771804172,0,0,0,0.027275068409853,0.0647572923829379,0,0,0,0,0,0.0654775566848201,0,0,0,0,0
XEM,0,0,0,0.0948708277292782,0,0.0791295431149088,0,0,0.0121715582081825,0,0.0824989686645227,0.0419484592450562,0,0.000000000000000000433680868994202,0,0,0,0,0,0
XMR,0,0,0,0,0,0.0838359553806541,0.135804816558341,0,0,0,0.142082185607099,0,0,0.017632671238932,0.0476973075572846,0,0,0,0,0
BTG,0,0,0.441282597603054,0.069020981066052,0,0,0,0,0,0,0,0.0719234995549414,0,0,0,0,0,0,0,0
ADA,0,0,-0.0686316090869821,0.225613681786919,0,0.0737774343549845,0,0.0122136873862728,-0.00000000000000000173472347597681,-0.0288464438275805,0,0.183107782389527,0,0,0,0,0,0,0,0
ETC,0,0,0.0986333067878846,0,0,0,0,0.0916647694472754,0,0,0.157711790048779,0,0,0,0,0,0,0,0,0
EOS,0.21302909371745,0,0.110870510350226,0.248934542731468,0,0.194038594807963,0.0209445491990095,0,0.0154306294373197,0,0,0.128126289966525,0,0,0.14170283457046,0,0,0,0,0
XLM,0,0,0,0,0,0.181715430872803,0,0,0,-0.0228611346984017,0.289711324130457,0,0.162108626965508,0,0,0,0,0,0,0
NEO,0,0,0,0,0,0.0355384247891614,0,0.0328856967737181,0,0,-0.0000000000000000000542101086242752,0,0.0319877559292611,0.0437239569184068,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,-0.0011381086446288,0,0,-0.00653935196806443,0,0.0203441343050069,0.0154084451496431,0,0,0,0,0,0
CVIX.INDEX,0,0,-0.018878443950572,0,0,0,0,0.00891351210423141,0,-0.000404980341849979,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,-0.000000000854271127244746,0,0,0,0,0,0,0.0000000009100664711044,0,0,0,0,0,0,-0.012379280727782
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
