,BTC,XRP,LTC,DOGE,DASH,XLM,XMR,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.119446782244114,0.0289981391043809,0.0592934534812826,0.0541342474267989,0,0,0.0507097824042076,0,0,0,0,0.00713164192715275
XRP,0,0,-0.0510433562353021,0.0742100836335585,0.405638760601627,0.299100983748088,0,-0.0548529895494828,-0.0871330598793907,0,0,0,0,0
LTC,0.329003135624864,0,0,0.0456229260401969,0,0,0.0251075967382509,0.0583662334877975,0,0,0,0,0,0.152033396276308
DOGE,0,0,0.049462732350148,0,0,0.282412313946282,0,0,0,0,0,0,0,0
DASH,0,0.124243672381718,0.067163244286905,0.00920553883067102,0,0.101368468842884,0.114679507606757,0,0,0,0,0,0,0
XLM,0,0.221964930242113,0.0634634026794328,0.247225797012554,0,0,0,0,0,0,0,0,0,0.0377942973959618
XMR,0,0,0,0,0,0,0,0,0.250057449003513,0,0,0,0,0
XEM,0,0,0.0997751858348961,0.184347587802755,0,0,0,0,0,0,0,0,0,0.190388457797282
DGB,0,0,0.063528226981776,0.055160140333992,0,0,0.0701844581508932,0.0618632907240098,0,0,0,0,0,0.09965850599761
BV010082.INDEX,0,0,-0.000524007003403649,0,0,0,-0.00129713682271453,0.00197841693029058,0,0,0.119677015226673,0,0,-0.0659150768316304
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0413818453163744
DXY.INDEX,0,0,-0.0000000129485481148926,0,0,0,0,0.00000001145686192221,0,0,0.0518073368000105,0,0,-0.0154500157824298
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0685998116264374
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0
