,BTC,ETH,XRP,BCH,ADA,LTC,XLM,NEO,EOS,XEM,MIOTA,DASH,XMR,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0,0.0278130999018383,0,0.107398667511766,0,0,0,0.126753664721422,0.0559236103645723,0,0,0,0,0,0
ETH,0,0,0,0.0103167845281334,0,0.2182065465707,0,0.0796207812478518,0.0476217784377754,0,0,0,0,0.0288491074955414,0.100743876473649,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0,0,0.128296505501952,0,0,0,0.0578735348690142,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0.0262907337204766,0.176841973635334,0.0802953043390191,0,0.402060434709958,0,0,0,0,0,0,0,0
ADA,0,0,0.0999495285326443,0,0,0,0.342345894187595,0,0.0776272070428509,0.0815758804612062,0,0,0,0,0,0,0,0,0,0
LTC,0.0748307226337299,0,0,0.173393299268302,0,0,0,0,-0.00000000000000000346944695195361,0.132740615759848,0,0.041021463185419,0,0.0193244442024842,0.024749477439549,0,0,0,0,0
XLM,0,0,0.102660929644346,0,0.33084286647723,0,0,0,0,0,0.14104021423353,0,0.0468342172036861,0,0,0,0,0,0,0
NEO,0,0.171499891623989,0,0.127189687801184,0.0479120004178931,0,0.122774638974366,0,0,0.0344844340955091,0,0,0,0,0,0,0,0,0,0
EOS,0,0,0.0411663332722144,0.0264238177053541,0,0,0.0818762519180651,0,0,0.0739866067698963,0,0,0.171429039842505,0.0653929868318596,0,0,0,0,0,0
XEM,0,0,0.0334974136136694,0.104228042766732,0.150775638372489,0.0602521015237461,0.206177840543124,0,0.0752957628448112,0,0.117917273554972,0,0,0,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0.0476402701984388,0,0,0.0441983366211569,0.156972312028012,0,0,0,0,0.268200940898068,0,0,0,0,0
DASH,0,0,0,0.110290361726042,0.0676031936259036,0.0433023693390395,0,0,0,0,0,0,0,0.0802773191444562,0.0823278682060544,0,0,0,0,0
XMR,0,0,0,0.0477678161221299,0.00720496269825436,0,0.081149624356645,0.146980388237126,0.0422010760985434,0,0,0.258712393963947,0,0.00526935049738477,0.0825434947108594,0,0,0,0,0
TRX,0.101516269025739,0,0.0798688070103299,0.241286603618353,-0.00000000000000000693889390390723,0.217175355835674,0,0,0,0.000000000000000000867361737988404,0,0.00897546679755234,0,0,0,0,0,0,0,0
ETC,0,0,0,0.175232151407309,0,0,0,0,0,0.0736721991231687,0,0.102346897905283,0.0403333128032662,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0.00779117957609802,0,0,0,0,0.00235342542844375,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,-0.00384206187029627,0,0,0,-0.000928633093754434,0,0,0,0,0,0,0.00362460497818538,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0.000319660802601709,0,0,0,0,0,0,0,-0.000148354229978892,0,0,0,0,0,0,-0.0257693387294697
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
