,BTC,ETH,XRP,LTC,XMR,ETC,DASH,XEM,DOGE,XLM,NEO,ZEC,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.216016454517694,-0.0351775569715843,0,0,0.0116482214514971,0,-0.0135622601615475,0,-0.0037941058656419,-0.0141744623604366,0,0,0,0,0
ETH,0,0,0,0,0,0,0,0,0,0.0555454304523861,-0.0224958584785479,-0.00386232879733273,0,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0,0,0.279383835252385,-0.0562725763136359,-0.0130903216076991,0,0,-0.0302851972475026,0,0,-0.0305409688390597
LTC,0.259401866533376,0,0,0,-0.0175148611501671,0,0,-0.000200301972549646,0,-0.0190281307036945,0.00254297076468388,0,-0.00954618689283639,0,0,0,0,0
XMR,-0.392335892781267,0,0,0,0,0,0.145254322000941,0.245265701929929,0,0.0731408760693916,-0.142858785872504,-0.0306761226609776,0,0,0,0,0,0
ETC,0,0,0,0,0,0,0,0,0,0.103906569968006,0,-0.0124411813581886,0.0708905777596517,0,0,0,0,0
DASH,0,0,0,0,0.0563004931778117,0,0,0,0,0,-0.0273249360865421,-0.0306537005728268,0,0,0,0,0,0
XEM,0,0,0,0,0,0,0,0,0,0,0.0364832128701132,-0.0446221580248367,0,0,-0.211788151689455,0,0,0
DOGE,0,0,0.0354372616310533,0,-0.0363910486498512,0,0,0.0250426937890016,0,0.0265514365566265,0.00984565458576806,-0.00200446904072711,0,0,0,0,0,0
XLM,0,0.0822166992082096,0.268162173989059,0,0.144484131032184,0.0875150875125189,0,0,0,0,0.0359577193048994,-0.00432709926802033,0.125735246816561,0,0.0358067928276451,0,0,0
NEO,0,0,0,0,-0.211642270676034,-0.26806751855868,0,0.117732185553545,0.413378220954611,0,0,-0.0256714714215423,-0.365183580906795,0,0,0,0,0
ZEC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DGB,0,0,0,0,0,0,0,0,0,0,0,-0.0317349914325488,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0405492422919329
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,-0.000000412892105777298,0,0,0,0,0,0.0569887600199422
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0.000952972883594289,-0.0000000000000000000000529395592033938,0,0,0,0,0,-0.00974908015994231
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0.00000000892371957910968,0,0,0,0,0,-0.0521573331660654
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
