,BTC,ETH,XRP,BCH,ADA,XLM,NEO,LTC,EOS,XEM,MIOTA,DASH,XMR,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0194658276346591,0,0.0112756380916484,0,0,0.0983379756903526,0,0.0657798068622983,0,0.0174269473293316,0.0392293770556648,0,0,0,0,0,0
ETH,0,0,0,0,0,0,0.0761251868641602,0.211481846852411,0.0278507764564378,0,0,0,0,0.0279238280999607,0.116661975296132,0,0,0,0,0
XRP,0,0,0,0,0.0873926121607363,0,0,0,0,0.116927193470367,0,0,0,0.0488884217827881,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0.0462255683819395,0.174197932535236,0.0669611881181812,0,0.252655220099636,0,0,0.0740229458426074,0,0,0,0,0
ADA,0,0,0.142038633131397,0,0,0.414628034606904,0,0,0.0268498364998786,0.0709011301758177,0,0,0,0,0,0,0,0,0,0
XLM,0,0,0.108260665923859,0,0.315393636173857,0,0,0.0131228664623857,0,0,0.224629309043183,0,0.131688306389874,0,0,0,0,0,0,0
NEO,0,0.334323696011192,0,0.128465296745376,0.064892338438825,0.110072863836844,0,0,0,0,0,0,0,0,0.00000000000000000173472347597681,0,0,0,0,0
LTC,0.101781261799764,0,0,0.111046136001096,0,0,0,0,0.0467378622987413,0.14566475888031,0,0.139234917984077,0,0,0.00954441929877565,0,0,0,0,0
EOS,0,0,0.0736405708104921,0.205557957649741,0.0495008121499333,0.148683853400081,0,0.17670235356288,0,0,0,0,0.160698147269982,0.000000000000000000433680868994202,0.00326026510181577,0,0,0,0,0
XEM,0,0,0.0784457032335664,0.0808864232408496,0.109973666151045,0.222791838280226,0,0.0655068170635655,0.0179598346119562,0,0.0692014539883386,0,0,0,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0.156247059001834,0.0595957984009926,0.127842179962088,0,0,0,0,0.24054710225633,0,0,0,0,0
DASH,0,0,0,0.0862966876028271,0.0611872247265604,0,0,0.0558439426629158,0,0,0,0,0.0382959115419245,0.0754520304875932,0.216321822643139,0,0,0,0,0
XMR,0.02428441616023,0,0,0,0,0.10939109149094,0.15221072620859,0,0.0936147635708019,0,0.0295314510947141,0.211434989176468,0,0,0.0910085524683042,0,0,0,0,0
TRX,0.211992946594841,0,0,0.158277390587654,0.0652371989349973,0,0,0.0744444294370433,0,0,0,0.0546399154881356,0,0,0,0,0,0,0,0
ETC,0,0,0,0,0.0445513045349916,0,0,0,0.043137814011406,0.0902213730751623,0,0.350571195820841,0.00408148853693595,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0.00634411059013817,0.000121931600312379,0,0,0,0.00259759126442507,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,-0.00325941376846949,0,-0.0014935945480867,-0.000577388910737082,0,0,0,0,0,0,0,0.00378714307042945,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0.0000000669752034332205,0,0,0,0,0,-0.00000000940433055502272,0,-0.000000000000000000000000206795153138257,0,0,0,0,0,0,-0.015973296073708
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
