,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,MIOTA,TRX,DASH,BNB,NEO,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0177318989093905,0,0.0470936132258453,0.0738987854048049,0,0.0145124188987154,0,0.0219346562776906,0.0880277836571609,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0.141176705230977,0,0.00567109413511854,0,0,0,0,0.00425448035742958,0.284492044047396,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0.0486838828837873,0,0,0.0064668356918115,0,0.225780456450975,0,0,0,0.0554973594343538,0,0,0,0,0,0
BCH,0,0,0.0279474722586792,0,0.139933883882507,0,0,0.0135363668603869,0,0.172657350984385,0.0712548827801764,0,0,0.0248342969167516,0,0,0,0,0,0
EOS,0,0,0.088538135992962,0,0,0,0,0.0362440626012556,0,0.00919262070425359,0.322906632862919,0,0,0.120264287098729,0,0,0,0,0,0
XLM,0,0,0.0713207952407446,0,0,0,0,0.201622840957918,0,0.0264703884159794,0.233750494362283,0,0,0,0,0,0,0,0,0
LTC,0,0,0.0384380873281468,0.0349620493737026,0,0,0,0.132114481185995,0,0.135793574046801,0,0,0,0.0425804480282153,0,0,0,0,0,0
ADA,0,0,0.166246144556124,0,0.120358369859875,0,0,0,0,0.000000000000000000216840434497101,0.145339605555096,0,0,0.116479131957893,0,0,0,0,0,0
XMR,0,0.0716041262511559,0.117503291484756,0.0265635081103295,0,0,0,0,0,0.187119069169383,0,0,0,0.0575297205317543,0.0473431110098314,0,0,0,0,0
MIOTA,0,0,0.00833282130203683,0,0,0,0,0,0,0,0.487096417803757,0,0,0.447485514582044,0,0,0,0,0,0
TRX,0,0,0,0,0.0892318619284257,0,0,0.185568180531262,0,0.310713204160557,0,0,0,0.0969038010915809,0,0,0,0,0,0
DASH,0,0,0,0,0.0936829169383135,0,0,0.0707566429688379,0,0.216382998598193,0,0,0,0.135262771321371,0,0,0,0,0,0
BNB,0,0.0653861050477624,0,0,0.0247066817433058,0,0,0.0320112853657799,0,0.074497275865973,0.0280043615101052,0,0,0.13689241502374,0,0,0,0,0,0
NEO,0,0,0.0716117452171905,0,0.122393155113172,0,0,0,0,0.389402223594641,0.0791349240759392,0,0,0,0,0,0,0,0,0
ETC,0,0.258780586124827,0.042595772052719,0,0,0,0,0,0,0.0943527533133724,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0.0199894528993979,0,0,-0.00963786597433006,-0.0136720635650978,0,-0.012358116186065,0,0,0,0,0,0,0,0,0,0,-0.061053688169239
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,-0.00235181964950569,0,0,0,0,0,0,0,0,0.000564396447547618,0,0,0,0,0.0368199845183696,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0446761892643817
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
