,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,MIOTA,TRX,NEO,DASH,XEM,XMR,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,-0.0000000000000000000135525271560688,0,0.115341884188311,0.0165917391498897,0.123672387188387,0,0.0171720604030403,0.0747149802081656,0,0,0,0,0,0,0,0
ETH,0,0,0.0506992490418515,0,0.0227430107395791,0,-0.000000000000000000433680868994202,0,0.151076951054412,0,0.030903321556342,0.0715640178198692,0,0.0776892913060166,0,0,0,0,0,0
XRP,0,0,0,0,0.00864458505738789,0,0.0559083190470944,0.159309153483446,0.191863959137454,0,0.0525614175964151,0,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0,0.180334545476972,0,0,0.277238788462178,0,0.112043993223631,0.0892330514150564,0,0,0,0,0
EOS,0,0,0.0195240923513548,0.00000000000000000010842021724855,0,0,0.328251995467768,0,0,0.228459884831569,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0.0820724813522947,0.0483944465317021,0.0472698423062299,0,0,0,0.136658307849129,0.0212015840775515,-0.000000000000000000867361737988404,0.167853889002425,0,0,0.000898588486911422,0,0,0,0,0
ADA,0,0,0.0653052675824201,0,0.0783028375025583,0,0,0.314657519482403,0.18793657048992,0,0,0,0.0562888212582546,0,0,0,0,0,0,0
XLM,0,0,0.0709830961396035,0,0.0502365966696521,0,0.331002657128794,0,0,0,0.167613698729853,0,0,0,0,0,0,0,0,0
MIOTA,0,0,0.00675699765701929,0.205364011931736,0,0,0.229811296761617,0,0,0,0,0.138645402131855,0,0.166725215947663,0,0,0,0,0,0
TRX,0,0,0,0.392221989859228,0.0122150094347314,0,0,0.122301372393448,0,0,0.155460674463204,0.0907407271297185,0,0.031022388682426,0,0,0,0,0,0
NEO,0,0,0,0,0.0612237409551671,0,0,0.252022157085169,0.399404537297322,0.0114080698724967,0,0,0,0.0458426657378107,0,0,0,0,0,0
DASH,0,0,0,0.0676460822140223,0.0357568635355182,0,0,0,0.263661236939127,0.0262064515297746,0.0184127520933656,0,0,0.0197426606725831,0,0,0,0,0,0
XEM,0,0,0,0,0.0000000000000000000271050543121376,0,0.130451742405247,0.153634123098164,0.270849040950338,0.0173678482213459,0,0,0,0,0.000000000000000000216840434497101,0,0,0,0,0
XMR,0,0,0.00887088307476375,0.204146589657818,0,0.120791282555322,0,0.236028140056842,0,0,0,0.104828816722501,0,0,0,0,0,0,0,0
ETC,0,0,0.0711225954260164,0,0.0943345968110776,0,0.0122963520386227,0.191359050385692,0.187276577417711,0.0463462418305653,0,0.0569021796804884,0.0898531417787094,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0461977657214752
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0952331869239644
VIX.INDEX,0,0,0,-0.0000000000000000000016940658945086,-0.0000119482515396466,0,0,0,0.0000152476603697343,-0.00000789891775440817,0,-0.0000000000000000000000529395592033938,0,0,0,0,0,0,-3.7114846249338,0
