,BTC,ETH,XRP,BCH,LTC,DASH,XEM,MIOTA,NEO,XMR,ETC,ZEC,EOS,BAT,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.0928350069606496,0,0,0.112596715758955,0.0510169137131527,0,0,0,0,0.0157430549486475,0.0599592826948893,0,0,0,0,0
ETH,0,0,0,0,0.0830181934445447,0,0,0.111746752501594,0.00253190985558039,0,0,0,0,0.0110611758978393,0.0775665895684825,0,0,0,0,0
XRP,0,0,0,0,0.060888666819229,0,0,0,0,0,0,0,0,0,0.300370214128381,0,0,0,0,0
BCH,0,0,0,0,0,0,0.528913315589357,0,0,0,0,0,0,0,0.0813500154285794,0,0,0,0,0
LTC,0,0,0,0.0163633831969696,0,0,0,0.0408390425469787,0.0217999993604904,0,0.620862876631217,0,0,0,0.098997521473811,0,0,0,0,0
DASH,0,0,0,0.0102809025569098,0,0,0.09349738411864,0.0741782843331726,0,0,0,0.184028121015246,0,0.0602528387410139,0,0,0,0,0,0
XEM,0,0.0867605726811912,0,0.107598130498285,0,0,0,0.0786924298566218,0.0125871990355864,0,0,0,0,0.185381421181444,0.162962988436191,0,0,0,0,0
MIOTA,0,0.254000724892917,0,0,0,0,0.0725487836913782,0,0,0,0,0.244032424340632,0.0651797263810403,0.265584995138321,0,0,0,0,0,0
NEO,0.517608832251088,0,0,0.0570274102318004,0,0,0.172672149562648,0,0,0,0,0,0,0.251120385032672,0,0,0,0,0,-0.0197714015114465
XMR,0,0,0.131422239435903,0,0,0,0,0.012159713761777,0.012964209581005,0,0,0.0610090414821458,0,0,0.264799540025897,0,0,0,0,0
ETC,0,0,0,0,0.335135270301719,0,0,0,0,0,0,0.0565608151985931,0.0138297939455457,0.00163400155908714,0.0371959647033373,0,0,0,0,0
ZEC,0,0,0,0.00260391190162857,0,0.117752196319909,0.0314344700467443,0,0,0,0.0452532807013846,0,0.101974816304285,0,0.168475493944829,0,0,0,0,0
EOS,0,0,0,0,0.0698569389877209,0,0.0723500724600341,0.0261017562345523,0.0636376309537099,0,0,0.0017348599898545,0,0.00597588855053279,0.124196574761615,0,0,0,0,0
BAT,0,0,0,0,0.154930663983506,0,0,0.00396401363939555,0.163358873697183,0,0.119152794393681,0.0363530880618776,0.180858546847831,0,0,0,0,0,0,0
XLM,0,0.148639971627841,0.370220759533008,0,0,0,0,0.0156705669340852,0,0.103995974035943,0.252853192296247,0.132360942749247,0,0.0391285192895763,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0.018674280387829,0,0,0,0.00863922487130544,0,0,0,0,0,0,-0.0351846152331758
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,-0.00697309300046173,0,0,0,-0.00133519374961549,0,0,0.00448265597344321,-0.00358125140005495,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,-0.000000669245429588078,0,0,0,0,0,0,0,0,0,-0.0365262345765773
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
