,BTC,ETH,XRP,LTC,ETC,XEM,DASH,MIOTA,XMR,ZEC,DOGE,XLM,NEO,DGB,BAT,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0434251813038539,0,0.00302109505213294,0,0,0.0900829081271401,0.0438200136954975,0,0,0.00506798734368477,0,0,0,0,0,0,0
ETH,0,0,-0.0490252948482734,0,0.0754326473659017,0,0,0,0,0.163592264899996,0,0,-0.000000000000000000433680868994202,0,0.00504533158794873,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0,0,0,0,0.443256934652755,0,0,0,0,0,0,0,0
LTC,0,0,0,0,0,0.095802237996182,0,0,0.152029374712576,0,0,0.0560631954249025,0.154900277550239,-0.00649229466453362,0,0,0,0,0,0
ETC,0,0.554345620993651,0,0,0,0.0795931946094497,0,0,0,0.00500043012322997,0,0,0.0722737751590507,0,0,0,0,0,0,0
XEM,0,0,0.0918068568951859,0.174919272841074,0,0,0,0,0.0414847267536873,0,0.199427724429165,0.0655214878348131,0,0,0,0,0,0,0,0
DASH,0,0,0,0,0.0608666100498471,0,0,0,0.211691548252549,0.0122424832145879,0,0.00850854948528113,0.0493234281787107,0,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0.0734322588032717,0,0.11062969318141,0.300443555493092,0,0,0,0.00083862653077197,0.0975349633006477,0,0,0,0,0,0,0,0
ZEC,0,0.286403751539366,0.0536625184753854,0,0,0,0,0,0,0,0.0788206634377998,0.000000000000000000433680868994202,0.00205041747990624,0,0,0,0,0,0,0
DOGE,0,0,0,0.113427714667978,0.0215263284572228,0.244076208592716,0,0,0,0,0,0.0575034970760876,-0.000000000000000000867361737988404,0.107389620612979,0,0,0,0,0,0
XLM,0,0,0.511208349454807,0,0,0,0,0,0.161386173451932,0,0,0,0.0173194037498762,0.0565276232908181,0,0,0,0,0,0
NEO,0,0,0,0.355363153601168,0.442023386698118,0,0,0,0,0.130243345014951,0,0,0,0.0211747575443936,0,0,0,0,0,0
DGB,0,0,0,0,0,0,0,0,0.234407125348374,0,0.304447372625193,0.345895636891994,0,0,0.0645988828877875,0,0,0,0,0
BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,-0.00512159674881069,0.00501671617435257,0.0167223470057583,0,-0.00382137510199142,0,0,0,0,-0.0437013679717193
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0.00225273933443907,0,0,0,0,0,0,0,0,0,-0.000105560685421774,0.000190546304114476,-0.00277284069007235,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000147105111402238,0,0,0,0,0,-0.0142742070727522
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
