,BTC,ETH,XRP,BCH,LTC,DASH,XEM,NEO,MIOTA,XMR,ETC,ADA,ZEC,BAT,EOS,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.0588742645284961,0,0,0.062308510279425,0.140618571761796,0,0.0338908420264251,0,0,0.0201359068548357,0,0,0,0,0,0
ETH,0,0,0,0,0.0755781444323042,0,0.0247720253639601,0,0.106975294991923,0,0,0,0,0.029193690672472,0,0,0,0,0,0
XRP,0,0.101127420507996,0,0,0.241076226865965,0,0,0.00670607607494415,0,0.215400099740838,0,0,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0.513159744198176,0,0,0.0659882695771862,0.055849258394761,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0.013146001032793,0,0,0,0,0.0249413464317304,0.0192272313295162,0.643867145322077,0,0,0,0.0388269780745438,0,0,0,0,0
DASH,0,0,0,0.0139530734037238,0,0,0,0,0.0981015100779766,0,0,0,0.139031999468631,0.08621561096558,0,0,0,0,0,0
XEM,0,0.080209966813984,0,0.116807265293605,0,0,0,0.0216148047191607,0.139469113124109,0.0499517225066743,0,0,0,0.163860619438466,0,0,0,0,0,0
NEO,0.343660602028121,0,0,0.0741583790217754,0,0,0.151177581103254,0,0,0,0,0,0,0.359691532737673,0,0,0,0,0,-0.0247113452339836
MIOTA,0,0.304812530413098,0,0,0,0.190014383404058,0.0454126697935105,0.0396105928019006,0,0,0,0,0.0683252961383326,0.122506010887274,0.124278168620223,0,0,0,0,0.0700175351772919
XMR,0,0,0.107483184382051,-0.000000000000000000867361737988404,0,0,0.0127070260155689,0,0.0192570470901724,0,0,0,0.258415100137849,0,0,0,0,0,0,0
ETC,0,0,0,0,0.409405434849562,0,0,0,0,0,0,0,0.0660645690480723,0.00347444068652324,0.0129771946764692,0,0,0,0,0
ADA,0,0,0,0,0,0,0,-0.000442081153837562,0,0,0,0,0,0,0,0,0,0,0,0
ZEC,0,0,0,0,0,0.148522213818488,0.0694494387711724,0,-0.000000000000000000867361737988404,0.170950679624757,0.0860098642652421,0,0,0,0.157852184645808,0,0,0,0,0
BAT,0,0,0,0,0.0577351717866557,0,0,0.229941807690046,0.00927156754892683,0,0.231061264112739,0,0,0,0.0569835869660401,0,0,0,0,0
EOS,0,0,0,0,0.102945557179933,0,0,0.0836776025862593,0.026663340546821,0,0,0,0.131392921328168,0.00493450979385933,0,0,0,0,0,0
BV010082.INDEX,0,0,0,-0.00932711290474254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0297460857303761
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0132508751519479
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,-0.000000058960030763897,0,0,0,0,0,-0.00000089968121991058,0,0,0,0,0,0,0,0,0,-0.0365200217597443
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
