,BTC,ETH,XRP,BCH,LTC,EOS,BNB,XLM,ADA,TRX,BSV,XMR,DASH,MIOTA,XTZ,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0721831634587004,0,0.0796558887904657,0,0,0,0,0,0.102659214518059,0,0,0.0102135692499963,0,0,0,0,0
ETH,0,0,0,0,0.0411618639190025,0.119121706045603,0,0.199940978904949,0.06310907116813,0,0.0229167042038411,0,0,0,0.0492372351001165,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0,0.121435516526781,0.0510108124137338,-0.00000000000000000010842021724855,0.141355323073373,0,0.0389675805344769,0.0452539678838153,0,0,0,0,0
BCH,0,0,0,0,0.10111762192498,0.277560068716608,0,0,0.0371211638227387,0,0,0,0,0,0.0187227835620937,0,0,0,0,0
LTC,0,0,0,0.449239631550016,0,0.123417554271317,0,0,0.0178759595018745,0,0,0,0,0,0,0,0,0,0,0
EOS,0,0.0767365932825496,0,0.200114906785781,0.0109360824861834,0,0,0,0,0,0.00539089150243193,0.101407305927428,0,0,0.0523818756291423,0,0,0,0,0
BNB,0,0,0,0,0.214067747505999,0,0,0,0,0,0.169753376392652,0,0,0,0,0,0,0,0,-0.0784236841003815
XLM,0,0,0,0,0,0.0037172665755738,0,0,0.223394213304388,0.0487823796205391,0,0.182246409741903,0.0126688617194569,0,0.0353502248021957,0,0,0,0,0
ADA,0,0,0.20154491219098,0.322648334519452,0.0496806804237893,0,0,0,0,0,0,0.0816235103958919,0,0,0.0601263759748843,0,0,0,0,0
TRX,0,0,0.343840752491486,0,0.0558216303432621,0.0967231319664213,0,0.08599206721772,0.000000000000000000433680868994202,0,0.0270600245921573,0,0,0,0,0,0,0,0,0
BSV,0,0,0,0.227155286817661,0.0366386330990893,0,0.0360475772868681,0,0,0.136528380517638,0,0,0,0.137614352220625,0,0,0,0,0,0
XMR,0,0,0,0,0.0142772005686684,0.0361295966351012,0,0.0929143455522881,0,0.121717193367917,0.0262709619435523,0,0.202989303808183,0,0.0270254262179655,0,0,0,0,0
DASH,0,0,0,0.0715816494699631,0,0,0,0.119105248937128,0,0.00000000000000000346944695195361,0,0.259193763640568,0,0,0.0739310325047105,0,0,0,0,0
MIOTA,0,0,0.193456776828978,0,0,0,0,0.0826573473763886,0.0603492866270869,0,0.0511634184131053,0.288828031480802,0,0,0,0,0,0,0,0
XTZ,0,0,0,0,0,0,0,0,0.533093422183161,0,0,0.197295852384459,0.101152999551894,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,-0.0139731461007497,0,0.0178066938434957,0,0,0,0,0,0,0,0,-0.0602089378320656
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,-0.0122750608204607,0,0,0,0,0,0,0,0,0.0340718473212323
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0618146633077068
VIX.INDEX,0,0,0,-0.00000447808478451485,0,0,0,0,0,0,0,0,0,0,0,0,0.179718029895754,0,0,0
