,BTC,XRP,ETH,BCH,EOS,XLM,LTC,TRX,BSV,ADA,MIOTA,BNB,XMR,DASH,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.108780789172676,0,0,0,0,0.00384160356778016,0,0,0,0.102910357678063,0.0919258393644165,0.044500429666008,0,0,0,0,0
XRP,0,0,0,0.0420759444313203,0.0336227944389751,0.128663779152023,0,0,0.0000000000000000000135525271560688,0.197707648390555,0.0531292526862042,0,0,0,0.0500363844500079,0,0,0,0,0
ETH,0,0,0,0.17961469889393,0,0,0,0,0,0,0.0152026643894956,0,0.0318027057027587,0.0778640897417059,0.364126601385712,0,0,0,0,0
BCH,0,0,0.138670893830754,0,0.144737631041228,0,0.0896429765201456,0,0.0467474150924237,0.27901153181997,0,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0.0276951794232353,0,0,0,0,0,0.30005898182601,0,0,0,0.118784105999715,0.19011244885448,0,0,0,0,0
XLM,0,0,0,0.0984768125937588,0.214534035432916,0,0,0,0,0,0,0,0.114221538616805,0.0657174388079032,0.115441316148051,0,0,0,0,0
LTC,0,0,0.0472692409262181,0.0663665668436533,0.0812456403809536,0,0,0,0,0,0,0,0,0,0.479317607813894,0,0,0,0,0
TRX,0,0,0,0.186808295031909,0,0,0,0,0,0,0,0.00000000000000000173472347597681,0,0,0.284100553584126,0,0,0,0,0
BSV,0,0,0,0.63623693940703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADA,0,0,0,0.209129515536835,0.0397402762277118,0,0,0,0,0,0.00829296576674494,0,0,0,0.428988613074147,0,0,0,0,0
MIOTA,0,0,0.192185926692468,0.164085840051459,0.10643774067892,0,0,0,0.0218449468825332,0.013343501340273,0,0,0,0.225778411478029,0,0,0,0,0,0
BNB,0,0,0,0.00822413344488423,0.0965684318347619,0,0,0,0.000864200534176464,0,0.0520010594978443,0,0,0,0.419236333922054,0,0,0,0,0
XMR,0,0,0,0.0729885983377263,0,0,0,0,0,0,0,0,0,0.235482171181577,0.277543642074135,0,0,0,0,0
DASH,0,0,0,0.0824084419243014,0.150393152781919,0,0,0,0,0,0,0,0.131569426416906,0,0.1810684122748,0,0,0,0,0
NEO,0,0,0.302801153535729,0,0.122858798513452,0,0.223592075113599,0,0,0.122023423927531,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0172156439133758
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0.00000129010166550634,0,0,0.00000160653067618287,0,0,0,0.0529563574595096,0,0,0,-0.00241551712820475
SPX.INDEX,0,0,0,0,0,0,0,0,0.00000273428513696721,0,0,0,0,0,0,0,0,0,0,-0.121476997484585
VIX.INDEX,0,0,0,0,0,0,0,0.0000143592934557136,0.00000862313106313904,0,0,0,0,0,0,0,0,0,-2.56856634338259,0
