,BTC,ETH,BCH,XRP,LTC,DASH,NEO,XEM,XMR,MIOTA,ETC,ADA,ZEC,XLM,EOS,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.390529834127101,0,0.0405784141768314,0,0,0,0,0,0,0.0111117684776124,0.0277807558181905,0,0,0,0,0
ETH,0,0,0,0,0.0677963794076598,0,0.0918470087498811,0.0673069109118185,0,0.0379920824242894,0.14505612747953,0,0,0,0.0490635123398292,0,0,0,0,0
BCH,0,0,0,0,0.0206867473118633,0,0.198953652931524,0,0,0,0.238755240465542,0,0,0,0,0,0,0,0,0
XRP,0,0.0297295611804029,0,0,0.10257088332152,0,0.0787303515428426,0.0114559969023698,0,0.0339552815998402,0,0,0,0.0409554916145972,0,0,0,0,0,0
LTC,0,0.104374216073286,0,0.0647606653492114,0,0,0.126427828563748,0.0301309115188604,0,0,0.143204525955195,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0,0,0,0.0442694606929151,0.109115289692158,0.0337342049147988,0.0861516737753887,0,0.023515690751499,0,0,0.0180944825657543,0,0,0,0,0
NEO,0,0,0,0,0,0,0,0.108017266064358,0,0,0.102520011543024,0,0.256422998393925,0.149121679887505,0,0,0,0,0,0
XEM,0,0,0,0,0,0,0.166264244139682,0,0.186403827848148,0.12704665589557,0.0225088946934999,0,0,0.0213625067320696,0,0,0,0,0,0
XMR,0,0,0,0,0.000000000000000000867361737988404,0,0.0662092965704617,0.0900955001891903,0,0,0.147159934038878,0,0.0235992408216796,0.00695110106460787,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0.0417811747628099,0.16630679162408,0.0884629738035896,0,0,0.238710622986125,0,0,0.0426518568161514,0.0303373354354138,0,0,0,0,0
ETC,0,0,0.00504301412501858,0,0.272946668835639,0,0.0614783100878246,0.00355214370804253,0,0.0637690376942717,0,0,0.00897629556869905,0,0,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZEC,0,0.178109561842017,0,0,0,0,0.158603083664444,0.183552067725654,0,0.060501119286075,0.0359015617750332,0,0,0,0,0,0,0,0,0
XLM,0,0,0,0,0,0,0.231356524959904,0.143560437860484,0,0.330043358813124,0,0,0,0,0,0,0,0,0,0
EOS,0,0,0.0296379563998834,0,0.107150857170238,0,0,0,0,0.127508614829998,0.0351545907982592,0,0.360145950909036,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0.0142725397514788,-0.0118837096617956,0,0,0,-0.000000000000000000433680868994202,0,0,-0.028694826798925,-0.00539262555176716,0.00609014455931629,0.0101308237565827,0.0178664430184932,0,0,0,0,-0.0592247042534515
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,-0.0010339089955319,0,0,0,0,0,0,0,0,-0.0257569907761347
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
