,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,XTZ,LINK,ADA,XLM,TRX,XMR,HT,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0868518379740167,0.0224207845791968,0.0395876625823693,0.0718790226732655,0,0,0,0.140779186308146,0,0,0.00404421222415666,0,0,0,0,0,0
ETH,0,0,0,0.232572688360956,0.00148241781925642,0,0,0,0,0,0.0139630827110143,0,0.215959890412855,0,0,0,0,0,0,0
XRP,0,0,0,0.0724680790516823,0.0126362952557641,0.117939346670836,0.117348085517892,0,0,0,0,0,0.22344055047011,0,0,0,0,0,0,0
BCH,0,0,0,0,0.243766425703757,0.0359614174998629,0.0488807643252162,0,0,0,0,0,0.300475981083312,0.00337896109991566,0,0,0,0,0,0
BSV,0,0,0,0.567468397614209,0,0,0.312478799980309,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0.289132241977236,0.0361905324460708,0,0.142121906953456,0,0,0.0700191660394251,0.013185873496162,0,0.112855396442221,0,0,0,0,0,0,0
EOS,0,0,0,0.146438311020196,0.132978651631132,0,0,0,0,0,0.0948525497021474,0,0.0259812738602245,0.0927623611963483,0,0,0,0,0,0
BNB,0,0.0646909069843915,0,0.110452389369651,0,0,0.0773692316331816,0,0,0,0,0,0.270407776164477,0,0,0,0,0,0,-0.0291501503887292
XTZ,0,0.0600157510176705,0,0,0,0,0,0,0,0.18431498818741,0.00980981759383028,0,0.0680468434428516,0.0603865877355611,0,0,0,0,0,0
LINK,0,0,0,0,0,0.173150992456474,0,0,0.160070948529599,0,0.143832288131868,0,0,0,0,0,0,0,0,-0.0181321628396766
ADA,0,0,0,0.165728003234155,0,0,0.0576848456413846,0,0,0,0,0,0.19883466724167,0,0,0,0,0,0,0
XLM,0,0.227381892561312,0.171471733550303,0,0,0,0,0,0.0143135570522617,0.000000000000000000433680868994202,0.023381779675143,0,0.000526251210462049,0,0,0,0,0,0,-0.0322600664559563
TRX,0,0.146191015101092,0,0.196869997243424,0.01344639260839,0,0,0,0,0,0.0939574999541263,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0.0369952285062133,0,0.205134671586582,0,0,0.0353796016241519,0.0390681089058874,0.273704660191567,0.0451796920494394,0,0,0,0,0,0,0,0
HT,0,0,0,0,0.00984666214887334,0.0224091985958646,0,0.187399529632274,0,0.209184812195777,0,0,0.0630516020288452,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0.00861854014725296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.122138264760766
CVIX.INDEX,0,0,0,0,0.00426964622457064,0,0,0,0,0.00115953933650936,0,0,0,0,0,0,0,0,0,0.0873151557377055
DXY.INDEX,0,0,0,0,-0.000154424125444101,0,0,0,-0.0000278026991670911,0,0,0,0,0,-0.0000634041824598133,0.00530157689328017,0,0,0,-0.0111697759430318
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0884218864760641
VIX.INDEX,0,0,0,0,-0.0059399255615173,0,0,0,0.000212441871006498,-0.0042442562182636,0,0,0,0,0,-0.460995186536239,0,0,0,0
